26,abbhāgata,.ti.base.,,,a guest$a stranger,,,,1,100,9,concise,en
27,abbhāgata,.adj:base.,,,arrived,,,,1,100,9,concise,en
28,abbhāhata,.adj:base.,.pp.,abbhāhanati,attacked$afflicted.,,,,1,100,9,concise,en
34,abbhāmatta,.adj:base.,,,of the size of a cloud.,,,,1,100,10,concise,en
72,abbocchinna,.adj:base.,,,uninterrupted,,,,1,100,11,concise,en
73,abbohārika,.adj:base.,,,negligible,,,,1,100,10,concise,en
74,abbokiṇṇa,.adj:base.,,,uninterrupted$constant$not crowded.,,,,1,100,9,concise,en
75,abbuda,.n:base.,.nt.,,1. a tumour$2. the foetus in the 2nd week after conception$3. cause of disunion$4. name of a purgatory.,,,,1,100,6,concise,en
76,abbūhati,.v.,.3p.$.sg.$.pres.,,draws off$pulls out.,,ā+vi+ūh+a,,1,100,8,concise,en
77,abbūhi,.v.,.aor.,abbūhat,drew off$pulled out,,,,1,100,6,concise,en
78,abbūḷha,.adj:base.,.pp.,abbūhati,drawn off$pulled out,,,,1,100,7,concise,en
80,abhabba,.adj:base.,,,unable$not proficient.,,,,1,100,7,concise,en
81,abhabbatā,.adj:base.,,,inability$impossibility.,,,,1,100,9,concise,en
89,abhavi,.v.,.aor.,bhavat,became$existed.,,,,1,100,6,concise,en
90,abhavissā,.v.,.3p.$.sg.,,(he) would have been,,,,1,100,9,concise,en
92,abhaya,.adj:base.,,,safe$fearless,,,,1,100,6,concise,en
93,abhaya,.n:base.,.nt.,,safety,,,,1,100,6,concise,en
94,abhayā,.n:base.,.f.,,yellow myrobalan.,,,,1,100,6,concise,en
95,abhejja,.adj:base.,,,not to be split or divided.,,,,1,100,7,concise,en
96,abhibhavana,.n:base.,.nt.,,overcoming$vanquishing.,,,,1,100,11,concise,en
97,abhibhavanīya,.adj:base.,,,what should be overcome.,,,,1,100,13,concise,en
98,abhibhavati,.v.,.3p.$.sg.$.pres.,,overcomes$conquers.,,abhi+bhū+a,,1,100,11,concise,en
99,abhibhavi,.v.,.aor.,abhibhavat,overcame$conquered.,,,,1,100,9,concise,en
100,abhibhū,.n:base.,.m.,,conqueror$overlord.,,,,1,100,7,concise,en
101,abhibhūta,.adj:base.,.pp.,abhibhavati,overpowered$vanquished.,,,,1,100,9,concise,en
103,abhidhamati,.v.,.3p.$.sg.$.pres.,,blows on.,,abhi+dham+a,,1,100,11,concise,en
104,abhidhami,.v.,.aor.,abhidhamat,blew on.,,,,1,100,9,concise,en
105,abhidhamma,.n:base.,.m.,,the analytic doctrine of the Buddhist Canon.,,,,1,100,10,concise,en
106,abhidhammika,.adj:base.,,,one who teaches abhidhamma.,,,,1,100,12,concise,en
111,abhidheyya,.adj:base.,,,having the name of,,,,1,100,10,concise,en
112,abhidheyya,.n:base.,.nt.,,meaning,,,,1,100,10,concise,en
102,abhidhā,.n:base.,.f.,,name$appellation.,,,,1,100,7,concise,en
108,abhidhāna,.n:base.,.nt.,,name$appellation.,,,,1,100,9,concise,en
109,abhidhāvati,.v.,.3p.$.sg.$.pres.,,runs towards$runs against$hastens.,,abhi+dhāv+a,,1,100,11,concise,en
110,abhidhāvi,.v.,.aor.,abhidhāvat,ran towards$hastened.,,,,1,100,9,concise,en
113,abhidosa,.n:base.,.m.,,last evening.,,,,1,100,8,concise,en
114,abhidosika,.adj:base.,,,belonging to the last evening.,,,,1,100,10,concise,en
116,abhigajjana,.n:base.,.nt.,,roaring,thundering.,,,1,100,11,concise,en
117,abhigajjati,.v.,.3p.$.sg.$.pres.,,roars$thunders.,,abhi+gad+ya,,1,100,11,concise,en
118,abhigajji,.v.,.aor.,abhigajjat,roared$thundered.,,,,1,100,9,concise,en
119,abhighāta,.n:base.,.m.,,1. impact$contact$2. killing.,,,,1,100,9,concise,en
120,abhighātana,.n:base.,.nt.,,slaying$destroying.,,,,1,100,11,concise,en
121,abhighātī,.n:base.,.m.,,enemy$destroyer.,,,,1,100,9,concise,en
122,abhigijjhana,.n:base.,.nt.,,craving$greed.,,,,1,100,12,concise,en
123,abhigijjhati,.v.,.3p.$.sg.$.pres.,,craves for.,,abhi+gidh+ya,,1,100,12,concise,en
124,abhigijjhi,.v.,.aor.,abhigijjhat,craved for.,,,,1,100,10,concise,en
125,abhigīta,.adj:base.,.pp.,abhigāyati,sung for.,,,,1,100,8,concise,en
126,abhihanati,.v.,.3p.$.sg.$.pres.,,strikes$hits.,,abhi+han+a,,1,100,10,concise,en
127,abhihani,.v.,.aor.,abhihanat,struck$hit.,,,,1,100,8,concise,en
129,abhiharati,.v.,.3p.$.sg.$.pres.,,brings to$to offers.,,abhi+har+a,,1,100,10,concise,en
130,abhihari,.v.,.aor.,abhiharat,brought to$offered.,,,,1,100,8,concise,en
131,abhiharituṃ,.v.,.inf.,abhiharat,to bring over.,,,,1,100,11,concise,en
132,abhihata,.adj:base.,.pp.,abhihanati,struck$hit.,,,,1,100,8,concise,en
133,abhihaṭa,.adj:base.,.pp.,abhiharati,brought to$offered.,,,,1,100,8,concise,en
134,abhihaṭṭhuṃ,.v.,.inf.,abhiharat,to bring over.,,,,1,100,11,concise,en
135,abhihita,.adj:base.,.pp.,abhidhāti,spoken,,,,1,100,8,concise,en
136,abhihita,.n:base.,.nt.,,a word$saying,,,,1,100,8,concise,en
128,abhihāra,.n:base.,.m.,,bringing near$offering.,,,,1,100,8,concise,en
140,abhijappana,.n:base.,.nt.,,1. mumbling$2. wish$3. talk.,,,,1,100,11,concise,en
141,abhijappati,.v.,.3p.$.sg.$.pres.,,prays for$mumbles.,,abhi+jap+a,,1,100,11,concise,en
142,abhijappi,.v.,.aor.,abhijappat,prayed for$mumbled.,,,,1,100,9,concise,en
143,abhijappita,.n:base.,.nt.,,1. mumbling$2. wish$3. talk.,,,,1,100,11,concise,en
147,abhijigiṃsati,.v.,.3p.$.sg.$.pres.,,wishes to overcome.  *har is changed to gin$gi is doubled and the former gi is changed to ji.,,abhi+har+sa*,,1,100,13,concise,en
148,abhijigiṃsi,.v.,.aor.,abhijigiṃsat,wished to overcome.,,,,1,100,11,concise,en
149,abhijjamāna,.adj:base.,,,not breaking or separating.,,,,1,100,11,concise,en
150,abhijjanaka,.adj:base.,,,not breaking or separating.,,,,1,100,11,concise,en
155,abhijjhita,.adj:base.,.pp.,abhijjhāyati,wished for$coveted.,,,,1,100,10,concise,en
151,abhijjhā,.n:base.,.f.,,covetousness,,,,1,100,8,concise,en
152,abhijjhālu,.adj:base.,,,covetous.,,,,1,100,10,concise,en
153,abhijjhāyati,.v.,.3p.$.sg.$.pres.,,wishes for$covets.,,abhi+jhe+a,,1,100,12,concise,en
154,abhijjhāyi,.v.,.aor.,abhijjhāyat,wished for$coveted.,,,,1,100,10,concise,en
137,abhijānana,.n:base.,.nt.,,recognition$recollection.,,,,1,100,10,concise,en
139,abhijāni,.v.,.aor.,abhijānāt,knew fully or by experience$was aware,,,,1,100,8,concise,en
138,abhijānāti,.v.,.3p.$.sg.$.pres.,,knows fully or by experience$is aware.,,abhi+ñā+nā,,1,100,10,concise,en
144,abhijāta,.adj:base.,,,well-born$of noble birth.,,,,1,100,8,concise,en
145,abhijāti,.n:base.,.f.,,1. rebirth$descent$2. species.,,,,1,100,8,concise,en
