61,amū,.pron.,.f.$.pl.$.nom.,asu$amu,,,,,1,100,3,irregular,en
62,amū,.pron.,.m.$.pl.$.nom.,asu$amu,,,,,1,100,3,irregular,en
63,amū,.pron.,.nt.$.pl.$.nom.,asu$amu,,,,,1,100,3,irregular,en
64,amūbhi,.pron.,.f.$.pl.$.abl.,asu$amu,,,,,1,100,6,irregular,en
65,amūbhi,.pron.,.m.$.pl.$.abl.,asu$amu,,,,,1,100,6,irregular,en
66,amūbhi,.pron.,.nt.$.pl.$.abl.,asu$amu,,,,,1,100,6,irregular,en
67,amūbhi,.pron.,.f.$.pl.$.inst.,asu$amu,,,,,1,100,6,irregular,en
68,amūbhi,.pron.,.m.$.pl.$.inst.,asu$amu,,,,,1,100,6,irregular,en
69,amūbhi,.pron.,.nt.$.pl.$.inst.,asu$amu,,,,,1,100,6,irregular,en
70,amūhi,.pron.,.f.$.pl.$.abl.,asu$amu,,,,,1,100,5,irregular,en
71,amūhi,.pron.,.m.$.pl.$.abl.,asu$amu,,,,,1,100,5,irregular,en
72,amūhi,.pron.,.nt.$.pl.$.abl.,asu$amu,,,,,1,100,5,irregular,en
73,amūhi,.pron.,.f.$.pl.$.inst.,asu$amu,,,,,1,100,5,irregular,en
74,amūhi,.pron.,.m.$.pl.$.inst.,asu$amu,,,,,1,100,5,irregular,en
75,amūhi,.pron.,.nt.$.pl.$.inst.,asu$amu,,,,,1,100,5,irregular,en
76,amuṃ,.pron.,.f.$.sg.$.acc.,asu$amu,,,,,1,100,4,irregular,en
77,amuṃ,.pron.,.m.$.sg.$.acc.,asu$amu,,,,,1,100,4,irregular,en
78,amuṃ,.pron.,.nt.$.sg.$.acc.,asu$amu,,,,,1,100,4,irregular,en
79,amumhā,.pron.,.m.$.sg.$.abl.,asu$amu,,,,,1,100,6,irregular,en
80,amumhā,.pron.,.nt.$.sg.$.abl.,asu$amu,,,,,1,100,6,irregular,en
81,amumhi,.pron.,.m.$.sg.$.loc.,asu$amu,,,,,1,100,6,irregular,en
82,amumhi,.pron.,.nt.$.sg.$.loc.,asu$amu,,,,,1,100,6,irregular,en
83,amunā,.pron.,.m.$.sg.$.inst.,asu$amu,,,,,1,100,5,irregular,en
84,amunā,.pron.,.nt.$.sg.$.inst.,asu$amu,,,,,1,100,5,irregular,en
85,amūni,.pron.,.nt.$.pl.$.acc.,asu$amu,,,,,1,100,5,irregular,en
86,amūni,.pron.,.nt.$.pl.$.nom.,asu$amu,,,,,1,100,5,irregular,en
87,amūsaṃ,.pron.,.f.$.pl.$.dat.,asu$amu,,,,,1,100,6,irregular,en
88,amūsaṃ,.pron.,.m.$.pl.$.dat.,asu$amu,,,,,1,100,6,irregular,en
89,amūsaṃ,.pron.,.nt.$.pl.$.dat.,asu$amu,,,,,1,100,6,irregular,en
90,amūsaṃ,.pron.,.f.$.pl.$.gen.,asu$amu,,,,,1,100,6,irregular,en
91,amūsaṃ,.pron.,.m.$.pl.$.gen.,asu$amu,,,,,1,100,6,irregular,en
92,amūsaṃ,.pron.,.nt.$.pl.$.gen.,asu$amu,,,,,1,100,6,irregular,en
93,amūsānaṃ,.pron.,.f.$.pl.$.dat.,asu$amu,,,,,1,100,8,irregular,en
94,amūsānaṃ,.pron.,.m.$.pl.$.dat.,asu$amu,,,,,1,100,8,irregular,en
95,amūsānaṃ,.pron.,.nt.$.pl.$.dat.,asu$amu,,,,,1,100,8,irregular,en
96,amūsānaṃ,.pron.,.f.$.pl.$.gen.,asu$amu,,,,,1,100,8,irregular,en
97,amūsānaṃ,.pron.,.m.$.pl.$.gen.,asu$amu,,,,,1,100,8,irregular,en
98,amūsānaṃ,.pron.,.nt.$.pl.$.gen.,asu$amu,,,,,1,100,8,irregular,en
99,amusmā,.pron.,.m.$.sg.$.abl.,asu$amu,,,,,1,100,6,irregular,en
100,amusmā,.pron.,.nt.$.sg.$.abl.,asu$amu,,,,,1,100,6,irregular,en
101,amusmiṃ,.pron.,.m.$.sg.$.loc.,asu$amu,,,,,1,100,7,irregular,en
102,amusmiṃ,.pron.,.nt.$.sg.$.loc.,asu$amu,,,,,1,100,7,irregular,en
103,amussa,.pron.,.m.$.sg.$.dat.,asu$amu,,,,,1,100,6,irregular,en
