ato,ā,noun%f%sg%abl,3
āya,ā,noun%f%sg%loc,3
āyo,ā,noun%f%pl%nom,3
āyo,ā,noun%f%pl%voc,3
āyo,ā,noun%f%pl%acc,3
āhi,ā,noun%f%pl%inst,3
āhi,ā,noun%f%pl%abl,3
asu,ā,noun%f%pl%loc,3
ino,i,noun%m%sg%gen,3
ino,i,noun%m%sg%dat,3
inā,i,noun%m%sg%inst,3
inā,i,noun%m%sg%abl,3
ayo,i,noun%m%pl%nom,3
iyo,i,noun%m%pl%nom,3
ayo,i,noun%m%pl%voc,3
iyo,i,noun%m%pl%voc,3
ayo,i,noun%m%pl%acc,3
iyo,i,noun%m%pl%acc,3
īhi,i,noun%m%pl%inst,3
īhi,i,noun%m%pl%abl,3
īsu,i,noun%m%pl%loc,3
ino,i,noun%n%sg%gen,3
ino,i,noun%n%sg%dat,3
inā,i,noun%n%sg%inst,3
inā,i,noun%n%sg%abl,3
īni,i,noun%n%pl%nom,3
īni,i,noun%n%pl%voc,3
īni,i,noun%n%pl%acc,3
īhi,i,noun%n%pl%inst,3
īhi,i,noun%n%pl%abl,3
īsu,i,noun%n%pl%loc,3
iyā,i,noun%f%sg%gen,3
iyā,i,noun%f%sg%dat,3
iyā,i,noun%f%sg%inst,3
iyā,i,noun%f%sg%abl,3
iyā,i,noun%f%sg%loc,3
yaṃ,i,noun%f%sg%loc,3
iyo,i,noun%f%pl%nom,3
iyo,i,noun%f%pl%voc,3
iyo,i,noun%f%pl%acc,3
īhi,i,noun%f%pl%inst,3
īhi,i,noun%f%pl%abl,3
īsu,i,noun%f%pl%loc,3
ino,ī,noun%m%sg%gen,3
ino,ī,noun%m%sg%dat,3
inā,ī,noun%m%sg%inst,3
inā,ī,noun%m%sg%abl,3
ino,ī,noun%m%pl%nom,3
ino,ī,noun%m%pl%voc,3
ino,ī,noun%m%pl%acc,3
īhi,ī,noun%m%pl%inst,3
īhi,ī,noun%m%pl%abl,3
īsu,ī,noun%m%pl%loc,3
iyā,ī,noun%f%sg%gen,3
ayā,ī,noun%f%sg%gen,3
iyā,ī,noun%f%sg%dat,3
ayā,ī,noun%f%sg%dat,3
iyā,ī,noun%f%sg%inst,3
ayā,ī,noun%f%sg%inst,3
iyā,ī,noun%f%sg%abl,3
ayā,ī,noun%f%sg%abl,3
iyā,ī,noun%f%sg%loc,3
ayā,ī,noun%f%sg%loc,3
yaṃ,ī,noun%f%sg%loc,3
iyo,ī,noun%f%pl%nom,3
iyo,ī,noun%f%pl%voc,3
iyo,ī,noun%f%pl%acc,3
īhi,ī,noun%f%pl%inst,3
īhi,ī,noun%f%pl%abl,3
īsu,ī,noun%f%pl%loc,3
uno,u,noun%m%sg%gen,3
uno,u,noun%m%sg%dat,3
unā,u,noun%m%sg%inst,3
unā,u,noun%m%sg%abl,3
avo,u,noun%m%pl%nom,3
avo,u,noun%m%pl%voc,3
ave,u,noun%m%pl%voc,3
avo,u,noun%m%pl%acc,3
ūhi,u,noun%m%pl%inst,3
ūhi,u,noun%m%pl%abl,3
ūsu,u,noun%m%pl%loc,3
uno,u,noun%n%sg%gen,3
uno,u,noun%n%sg%dat,3
unā,u,noun%n%sg%inst,3
unā,u,noun%n%sg%abl,3
ūni,u,noun%n%pl%nom,3
ūni,u,noun%n%pl%voc,3
ūni,u,noun%n%pl%acc,3
ūhi,u,noun%n%pl%inst,3
ūhi,u,noun%n%pl%abl,3
ūsu,u,noun%n%pl%loc,3
uyā,u,noun%f%sg%gen,3
uyā,u,noun%f%sg%dat,3
uyā,u,noun%f%sg%inst,3
uyā,u,noun%f%sg%abl,3
uto,u,noun%f%sg%abl,3
uyā,u,noun%f%sg%loc,3
uyo,u,noun%f%pl%nom,3
ūvo,u,noun%f%pl%nom,3
uyo,u,noun%f%pl%voc,3
uyo,u,noun%f%pl%acc,3
ūhi,u,noun%f%pl%inst,3
ūhi,u,noun%f%pl%abl,3
ūsu,u,noun%f%pl%loc,3
uno,ū,noun%m%sg%gen,3
uno,ū,noun%m%sg%dat,3
unā,ū,noun%m%sg%inst,3
unā,ū,noun%m%sg%abl,3
avo,ū,noun%m%pl%nom,3
avo,ū,noun%m%pl%voc,3
ave,ū,noun%m%pl%voc,3
avo,ū,noun%m%pl%acc,3
ūhi,ū,noun%m%pl%inst,3
ūhi,ū,noun%m%pl%abl,3
ūsu,ū,noun%m%pl%loc,3
uyā,ū,noun%f%sg%gen,3
uyā,ū,noun%f%sg%dat,3
uyā,ū,noun%f%sg%inst,3
uyā,ū,noun%f%sg%abl,3
uto,ū,noun%f%sg%abl,3
uyā,ū,noun%f%sg%loc,3
uyo,ū,noun%f%pl%nom,3
uyo,ū,noun%f%pl%voc,3
uyo,ū,noun%f%pl%acc,3
ūhi,ū,noun%f%pl%inst,3
ūhi,ū,noun%f%pl%abl,3
