id,book,par_num,level,class,title,text
NULL,p31,1,100,centered,," Namo tassa bhagavato arahato sammāsambuddhassa"
NULL,p31,2,1,book,Lokanīti,Lokanīti
NULL,p31,3,2,chapter,"1. Paṇḍitakaṇḍo","1. Paṇḍitakaṇḍo"
NULL,p31,4,8,hangnum,1.,1.
NULL,p31,5,100,gatha1,," Lokanītiṃ  pavakkhāmi,"
NULL,p31,6,100,gatha2,,Nānāsatthasamuddhaṭaṃ;
NULL,p31,7,100,gatha3,,"Māgadheneva saṅkhepaṃ,"
NULL,p31,8,100,gathalast,,"Vanditvā ratanatthayaṃ."
NULL,p31,9,8,hangnum,2.,2.
NULL,p31,10,100,gatha1,," Nītiloke purisassa sāro,"
NULL,p31,11,100,gatha2,,"Mātā pitā ācariyoca mitto;"
NULL,p31,12,100,gatha3,,"Tasmā hi nītiṃ puriso vijaññā,"
NULL,p31,13,100,gathalast,,"Ñāṇī mahā hoti bahussutoca."
NULL,p31,14,8,hangnum,3.,3.
NULL,p31,15,100,gatha1,," Alasassa kuto sippaṃ,"
NULL,p31,16,100,gatha2,,"Asippassa kuto dhanaṃ;"
NULL,p31,17,100,gatha3,,"Adhanassa kuto mittaṃ,"
NULL,p31,18,100,gatha2,,"Amittassa kuto sukhaṃ;"
NULL,p31,19,100,gatha3,,"Asukhassa  kuto puññaṃ,"
NULL,p31,20,100,gathalast,,"Apuññassa kuto varaṃ."
NULL,p31,21,8,hangnum,4.,4.
NULL,p31,22,100,gatha1,," Sippā samaṃ dhanaṃ natthi,"
NULL,p31,23,100,gatha2,,"Sippaṃ corā nagaṇhare;"
NULL,p31,24,100,gatha3,,"Idha loke sippaṃ mittaṃ,"
NULL,p31,25,100,gathalast,,"Paraloke sukhāvahaṃ."
NULL,p31,26,8,hangnum,5.,5.
NULL,p31,27,100,gatha1,," Appakaṃ nātimaññeyya,"
NULL,p31,28,100,gatha2,,"Citte sutaṃ nidhāpaye;"
NULL,p31,29,100,gatha3,,"Vammikodakabindūva,"
NULL,p31,30,100,gathalast,,"Cirena paripūrati."
NULL,p31,31,8,hangnum,6.,6.
NULL,p31,32,100,gatha1,," Khuddoti nātimaññeyya,"
NULL,p31,33,100,gatha2,,"Vijjaṃ vā sippameva vā;"
NULL,p31,34,100,gatha3,,"Ekampi pariyodātaṃ,"
NULL,p31,35,100,gathalast,,Jīvitakappakāraṇaṃ.
NULL,p31,36,8,hangnum,7.,7.
NULL,p31,37,100,gatha1,," Sele sele na māṇikaṃ,"
NULL,p31,38,100,gatha2,,"Gaje gaje na muttikaṃ;"
NULL,p31,39,100,gatha3,,"Vane vane na candanaṃ,"
NULL,p31,40,100,gathalast,,"Ṭhāne ṭhāne na paṇḍitaṃ."
NULL,p31,41,8,hangnum,8.,8.
NULL,p31,42,100,gatha1,," Paṇḍito sutasampanno,"
NULL,p31,43,100,gatha2,,"Yattha atthīti ce suto;"
NULL,p31,44,100,gatha3,,"Mahussāhena  taṃ ṭhānaṃ,"
NULL,p31,45,100,gathalast,,"Gantabbaṃva sutesinā."
NULL,p31,46,8,hangnum,9.,9.
NULL,p31,47,100,gatha1,," Sine sippaṃ sine dhanaṃ,"
NULL,p31,48,100,gatha2,,"Sine pabbatamāruhaṃ;"
NULL,p31,49,100,gatha3,,"Sine kāmassa kodhassa,"
NULL,p31,50,100,gathalast,,"Ime pañca sine sine."
NULL,p31,51,8,hangnum,10.,10.
NULL,p31,52,100,gatha1,," Suti sammuti saṅkhyāca,"
NULL,p31,53,100,gatha2,,"Yogā nīti visesakā;"
NULL,p31,54,100,gatha3,,"Gandhabbā gaṇikā ceva,"
NULL,p31,55,100,gathalast,,"Dhanu bedā ca pūraṇā."
NULL,p31,56,8,hangnum,11.,11.
NULL,p31,57,100,gatha1,," Tikicchā itihāsā ca,"
NULL,p31,58,100,gatha2,,"Joti māyā ca chandati;"
NULL,p31,59,100,gatha3,,"Ketu mantā ca saddā ca,"
NULL,p31,60,100,gathalast,,"Sippāṭṭhārasakā ime."
NULL,p31,61,8,hangnum,12.,12.
NULL,p31,62,100,gatha1,," Apuṭṭho paṇḍito bherī,"
NULL,p31,63,100,gatha2,,"Pajjunno me hoti pucchito;"
NULL,p31,64,100,gatha3,,"Bālo puṭṭho apuṭṭhopi,"
NULL,p31,65,100,gathalast,,"Bahumpi bhaṇate sadā."
NULL,p31,66,8,hangnum,13.,13.
NULL,p31,67,100,gatha1,," Potthakesu ca yaṃ sippaṃ,"
NULL,p31,68,100,gatha2,,"Parahatthesu yaṃ dhanaṃ;"
NULL,p31,69,100,gatha3,,"Yathākicce  samuppanne,"
NULL,p31,70,100,gathalast,,"Na taṃ sippaṃ na taṃ dhanaṃ."
NULL,p31,71,8,hangnum,14.,14.
NULL,p31,72,100,gatha1,," Jalappamāṇaṃ kumuddanālaṃ,"
NULL,p31,73,100,gatha2,,"Kulappamāṇaṃ vinayo pamāṇaṃ;"
NULL,p31,74,100,gatha3,,"Byattippamāṇaṃ kathītavākyaṃ,"
NULL,p31,75,100,gathalast,,"Pathaviyā pamāṇaṃ tiṇa milātaṃ."
NULL,p31,76,8,hangnum,15.,15.
NULL,p31,77,100,gatha1,," Appassuto sutaṃ appaṃ,"
NULL,p31,78,100,gatha2,,"Bahuṃ maññati mānavā;"
NULL,p31,79,100,gatha3,,"Sindhūdakaṃ apassanto,"
NULL,p31,80,100,gathalast,,"Kūpe toyaṃva maṇḍuko."
NULL,p31,81,8,hangnum,16.,16.
NULL,p31,82,100,gatha1,," Pathamaṃ parājaye sippaṃ,"
NULL,p31,83,100,gatha2,,"Dutiyaṃ parājaye dhanaṃ;"
NULL,p31,84,100,gatha3,,"Tatiyaṃ parājaye dhammaṃ,"
NULL,p31,85,100,gathalast,,"Catutthaṃ kiṃ karissati."
NULL,p31,86,8,hangnum,17.,17.
NULL,p31,87,100,gatha1,," Byatta putra kimalaso,"
NULL,p31,88,100,gatha2,,"Abyatto bhārahārako;"
NULL,p31,89,100,gatha3,,"Byattako pūjito loke,"
NULL,p31,90,100,gathalast,,"Byatta putra dine dine."
NULL,p31,91,8,hangnum,18.,18.
NULL,p31,92,100,gatha1,," Mātā verī pitā satru,"
NULL,p31,93,100,gatha2,,"Kena bāle na sikkhitā;"
NULL,p31,94,100,gatha3,,"Sabhāmajjhe  na sobhanti,"
NULL,p31,95,100,gathalast,,"Haṃsamajjhe bakoyathā."
NULL,p31,96,8,hangnum,19.,19.
NULL,p31,97,100,gatha1,," Kaṇṭakaṃ giri ko tikkhati,"
NULL,p31,98,100,gatha2,,"Ko añjanaṃ migakkhikaṃ;"
NULL,p31,99,100,gatha3,,"Uppathaṃ pallale ko sugandhaṃ,"
NULL,p31,100,100,gatha2,,"Kula-putta-rūpo ko pavattati;"
NULL,p31,101,100,gathalast,,Sāmaṃ-bhāvo.
NULL,p31,102,8,hangnum,20.,20.
NULL,p31,103,100,gatha1,," Na rasaṃ akotambulaṃ,"
NULL,p31,104,100,gatha2,,"Adhanassa, laṅkatampi;"
NULL,p31,105,100,gatha3,,"Alonakantu byañjanaṃ,"
NULL,p31,106,100,gathalast,,"Byākaraṇaṃ asippassa."
NULL,p31,107,8,hangnum,21.,21.
NULL,p31,108,100,gatha1,," Sussusā sutasampanno,"
NULL,p31,109,100,gatha2,,"Sutāpaññāya pavaḍḍhati;"
NULL,p31,110,100,gatha3,,"Paññāya atthaṃ jānāti,"
NULL,p31,111,100,gathalast,,"Ñāto attho sukhāvaho."
NULL,p31,112,8,hangnum,22.,22.
NULL,p31,113,100,gatha1,," Bhojanaṃ methunaṃ niddā,"
NULL,p31,114,100,gatha2,,"Goṇe posepi vijjati;"
NULL,p31,115,100,gatha3,,"Vijjā viseso posassa,"
NULL,p31,116,100,gathalast,,"Taṃ hīno gosamo bhave."
NULL,p31,117,8,hangnum,23.,23.
NULL,p31,118,100,gatha1,," Natthi vijjāsamaṃmittaṃ,"
NULL,p31,119,100,gatha2,,"Naca byādhisamo ripu;"
NULL,p31,120,100,gatha3,,"Naca  attasamaṃ pemaṃ,"
NULL,p31,121,100,gathalast,,"Naca kammasamaṃ balaṃ."
NULL,p31,122,8,hangnum,24.,24.
NULL,p31,123,100,gatha1,," Haṃso majjhe na kākānaṃ,"
NULL,p31,124,100,gatha2,,"Sīho gunnaṃ na sobhate;"
NULL,p31,125,100,gatha3,,"Gadrabhamajjhe turaṅgo,"
NULL,p31,126,100,gathalast,,"Bālamajjhe ca paṇḍito."
NULL,p31,127,8,hangnum,25.,25.
NULL,p31,128,100,gatha1,," Yāvajīvampi ce bālo,"
NULL,p31,129,100,gatha2,,"Paṇḍitaṃ payirupāsati;"
NULL,p31,130,100,gatha3,,"Na so dhammaṃ vijānāti,"
NULL,p31,131,100,gathalast,,"Dabbi sūparasaṃ yathā."
NULL,p31,132,8,hangnum,26.,26.
NULL,p31,133,100,gatha1,," Muhuttamapi ce viññū,"
NULL,p31,134,100,gatha2,,"Paṇḍitaṃ payirupāsati;"
NULL,p31,135,100,gatha3,,"Khippaṃ dhammaṃ vijānāti,"
NULL,p31,136,100,gathalast,,"Jivhā sūparasaṃ yathā."
NULL,p31,137,8,hangnum,27.,27.
NULL,p31,138,100,gatha1,," Vinā satthaṃ na gaccheyya,"
NULL,p31,139,100,gatha2,,"Sūro saṅgāmabhūmiyaṃ;"
NULL,p31,140,100,gatha3,,"Paṇḍitvāddhagū vāṇijo,"
NULL,p31,141,100,gathalast,,"Videsagamano tathā."
NULL,p31,142,8,hangnum,28.,28.
NULL,p31,143,100,gatha1,," Dhananāsaṃ manotāpaṃ,"
NULL,p31,144,100,gatha2,,"Ghare duccaritāni ca;"
NULL,p31,145,100,gatha3,,"Vañcanañca  avamānaṃ,"
NULL,p31,146,100,gathalast,,"Paṇḍito na pakāsaye."
NULL,p31,147,8,hangnum,29.,29.
NULL,p31,148,100,gatha1,," Pattānurūpakaṃ vākyaṃ,"
NULL,p31,149,100,gatha2,,"Sabhāvarūpakaṃ piyaṃ;"
NULL,p31,150,100,gatha3,,"Attānurūpakaṃ kodhaṃ,"
NULL,p31,151,100,gathalast,,"Yo jānāti sa paṇḍito."
NULL,p31,152,8,hangnum,30.,30.
