id,book,par_num,level,class,title,text
NULL,p34,131,100,gatha3,,"Manto sadhivaso sappo,"
NULL,p34,132,100,gathalast,,"Khalo kena nivāyyate."
NULL,p34,133,8,hangnum,27.,27.
NULL,p34,134,100,gatha1,," Nakhīnañca  nadīnañca,"
NULL,p34,135,100,gatha2,,"Siṅgīnaṃ satthapāṇinaṃ;"
NULL,p34,136,100,gatha3,,"Vissāso nevakātabbo,"
NULL,p34,137,100,gathalast,,"Thīsu rājakulesu ca."
NULL,p34,138,8,hangnum,28.,28.
NULL,p34,139,100,gatha1,," Hatthī  hatthasahassena,"
NULL,p34,140,100,gatha2,,"Satahatthena vājino;"
NULL,p34,141,100,gatha3,,"Siṅgino dasahatthena,"
NULL,p34,142,100,gathalast,,"Ṭhānacāgena dujjano."
NULL,p34,143,8,hangnum,29.,29.
NULL,p34,144,100,gatha1,," Āpadatthaṃ  dhanaṃ rakkhe,"
NULL,p34,145,100,gatha2,,"Dāraṃ rakkhe dhanehipi;"
NULL,p34,146,100,gatha3,,"Attānaṃ satataṃ rakkhe,"
NULL,p34,147,100,gathalast,,"Dārehipi dhanehipi."
NULL,p34,148,8,hangnum,30.,30.
NULL,p34,149,100,gatha1,," Paradāraṃ paradabbaṃ,"
NULL,p34,150,100,gatha2,,"Parivādaṃ parassa ca;"
NULL,p34,151,100,gatha3,,"Parihāsaṃ guruṭṭhāne,"
NULL,p34,152,100,gathalast,,"Cāpalyañca vivajjaye."
NULL,p34,153,8,hangnum,31.,31.
NULL,p34,154,100,gatha1,," Caje  ekaṃ kulassatthe,"
NULL,p34,155,100,gatha2,,"Gāmassatthe kulaṃ caje;"
NULL,p34,156,100,gatha3,,"Gāma janapadassatthe,"
NULL,p34,157,100,gathalast,,"Attatthe pathaviṃ caje."
NULL,p34,158,8,hangnum,32.,32.
NULL,p34,159,100,gatha1,," Calatyekena  pādena,"
NULL,p34,160,100,gatha2,,"Tiṭṭha tyekena buddhimā;"
NULL,p34,161,100,gatha3,,"Nāsamikkhya paraṃ ṭhānaṃ,"
NULL,p34,162,100,gathalast,,"Pubbamāyatanaṃ caje."
NULL,p34,163,8,hangnum,33.,33.
NULL,p34,164,100,gatha1,," Luddha matthena gaṇheyya,"
NULL,p34,165,100,gatha2,,"Thaddha mañjalī kammunā;"
NULL,p34,166,100,gatha3,,"Mūḷhaṃ chando nuvattena,"
NULL,p34,167,100,gathalast,,"Tathā tathena paṇḍitaṃ."
NULL,p34,168,8,hangnum,34.,34.
NULL,p34,169,100,gatha1,," Atthanāsaṃ  manotāpaṃ,"
NULL,p34,170,100,gatha2,,"Gehe duccaritāni ca;"
NULL,p34,171,100,gatha3,,"Vañcanañca pamāṇañca,"
NULL,p34,172,100,gathalast,,"Matimā na pakāsaye."
NULL,p34,173,8,hangnum,35.,35.
NULL,p34,174,100,gatha1,," Dhanadhaññappayogesu,"
NULL,p34,175,100,gatha2,,"Tathā vijjāgamesu ca;"
