id,book,par_num,level,class,title,text
NULL,p59,1,1,chapter,"Jinavaṃsadīpaṃ ","Jinavaṃsadīpaṃ "
NULL,p59,2,100,centered,,"Namo tassa bhagavato arahato sammāsambuddhassa"
NULL,p59,3,8,hangnum,1.,1.
NULL,p59,4,100,gatha1,," Mahādayo yo hadayo’dayo’dayo"
NULL,p59,5,100,gatha2,,"Hitāya dukkhānubhave bhave bhave,"
NULL,p59,6,100,gatha3,,"Akāsi sambodhipadaṃ padaṃ padaṃ"
NULL,p59,7,100,gathalast,,"Tamābhivandāmi jinaṃ jinaṃ jinaṃ; (Yamakabandhanaṃ)"
NULL,p59,8,8,hangnum,"2. ","2. "
NULL,p59,9,100,gatha1,," Pahāya yatthā’bhiratiṃ ratiṃ ratiṃ"
NULL,p59,10,100,gatha2,,"Ramanti dhammeva munī munī munī,"
NULL,p59,11,100,gatha3,,"Vimuttidaṃ sabbabhavā bhavā’bhavā"
NULL,p59,12,100,gathalast,,"Tamābhivande mahitaṃ hitaṃ hitaṃ; (Yamakabandhanaṃ)"
NULL,p59,13,8,hangnum,"3. ","3. "
NULL,p59,14,100,gatha1,," Nipītasaddhammarasā rasā’rasā"
NULL,p59,15,100,gatha2,,"Supuññakhetto’rasataṃ sataṃ sataṃ,"
NULL,p59,16,100,gatha3,,"Gatā vidhūtā vinayena yena ye"
NULL,p59,17,100,gathalast,,"Tamābhivande’sigaṇaṅgaṇa’ṅgaṇaṃ; (Yamakabandhanaṃ)"
NULL,p59,18,8,hangnum,"4. ","4. "
NULL,p59,19,100,gatha1,," Jinā’natambhoruha haṃsarājinī"
NULL,p59,20,100,gatha2,,"Jinorasānaṃ mukhapañjarā’li nī,"
NULL,p59,21,100,gatha3,,"Sadatthasāraṃ sarasaṃ visūda nī"
NULL,p59,22,100,gatha3,,"Upetu me mānasameva vāṇi nī;"
NULL,p59,23,8,hangnum,5.,5.
NULL,p59,24,100,gatha1,," Kammāvasesā vicito’pajātyā"
NULL,p59,25,100,gatha2,,"Ganthā’hisaṅkhāravibandhakā me,"
NULL,p59,26,100,gatha3,,"Paṇāma puññātisayena’nena"
NULL,p59,27,100,gathalast,,"Mā pākadānā’vasarā bhavantu;"
NULL,p59,28,8,hangnum,6.,6.
NULL,p59,29,100,gatha1,," Suvaṇṇavaṇṇassa jinassa vaṇṇaṃ"
NULL,p59,30,100,gatha2,,"Vaṇṇeyya kapakpampi kajito suvaṇṇo,"
NULL,p59,31,100,gatha3,,"Kappassi’vosāna manattatāya"
NULL,p59,32,100,gathalast,,"Na pāpuṇe buddhaguṇāna mantaṃ;"
NULL,p59,33,8,hangnum,"7. ","7. "
NULL,p59,34,100,gatha1,," Niddhanta cāmīkara cāru rūpaṃ"
NULL,p59,35,100,gatha2,,"Sarassatī bhūsaṇa bhāsanaṃca,"
