id,lang,sn,word_en,word,word2,note
22856,my,14,aji,aji,Aji,aji：အဇိ<br>  စု = ဒိတ္တိယံ-ထွန်းပခြင်း၌။ အဉ္ဇေတိ၊ အဉ္ဇယတိ။,3,1
23304,my,14,ajja,ajja,Ajja,ajja：အဇ္ဇ<br>  ဘူ = လဗ႓နေ-ရခြင်း၌။ အဇ္ဇတိ။<br>  စု = ပဋိသဇ္ဇနေ-ပြုပြင်ခြင်း၌။ အဇ္ဇေတိ၊ အဇ္ဇယတိ။,4,1
24611,my,14,aka,aka,Aka,aka：အက<br>  ဘူ = ကုဋိလဂတိယံ-ကောက်တကျစ်သွားခြင်း၌။ အကတိ။,3,1
26463,my,14,aki,aki,Aki,aki：အကိ<br>  ဘူ+စု = ဂတိ လက္ခဏေသု-သွားခြင်း，အမှတ်တံဆိပ် ခတ်နှိပ်ခြင်းတို့၌။ အင်္ကတိ၊ အင်္ကေတိ၊ အင်္ကယတိ။ ဘူဝါဒိဂိုဏ်း，စုရာဒိဂိုဏ်းဆိုင်ရာ၌- ၁။ သံယုတ် အဆုံးမရှိခြင်း။ ၂။ အနေကဿရဓာတ်ဖြစ်ခြင်း။ ၃။ ဣအက္ခရာအနုဗန်ပါရှိခြင်း ဤလက္ခဏာ ၃-မျိုးနှင့် ပြည့်စုံသောဓာတ်ဖြစ်လျှင် အမြဲ နိဂ္ဂဟိတ်လာရသည်။<br>  * ဘူနှင့်စုဓာတ်၊ သံယုတ်လွှတ်၍၊ နေကဿရ၊ ဣဆုံးက၊ လာရနိဂ္ဂဟိတ်။,3,1
26856,my,14,akka,akka,Akka,akka：အက္က<br>  စု = ထဝန တာပနေသု-ချီးမွမ်းခြင်း，ပူလောင်ခြင်းတို့၌။ အက္ကေတိ၊ အက္ကယတိ။,4,1
27019,my,14,akkha,akkha,Akkha,akkha：အက္ခ<br>  ဘူ+သွာ = ဗျာပန ဒဿန သံဟတေသု-ပျံ့နှံ့ခြင်း，မြင်ခြင်း，ပေါင်းစုခြင်းတို့၌။ အက္ခတိ၊ အက္ခဏောတိ။,5,1
28514,my,14,ala,ala,Ala,ala：အလ<br>  ဘူ = ဘူသန သမတ နိဝါရဏ ဗန္ဓနေသု-တန်ဆာ ဆင်ခြင်း，စွမ်းနိုင်ခြင်း，တားမြစ်ခြင်း，နှောင်ဖွဲ့ ခြင်းတို့၌။ အလတိ။,3,1
28522,my,14,ala,aḷa,Aḷa,aḷa：အဠ<br>  ဘူ = ဥဂ္ဂမေ-ပျံတက်ခုန်လွှားခြင်း，တက်ကြွခြင်း၌။ အဠတိ။,3,1
30351,my,14,ali,ali,Ali,ali：အလိ<br>  ဘူ = ဗန္ဓနေ-နှောင်ဖွဲ့ခြင်း၌။ အလ္လတိ။,3,1
31621,my,14,ama,ama,Ama,ama：အမ<br>  ဘူ+စု = ဂတိ ပီဠာ ရောဂ ဘတ္တိ သဒ္ဒ ဘောဇနေသု-သွားခြင်း，နှိပ်စက်ခြင်း，နာကျင်ခြင်း，ဆည်းကပ် မှီဝဲခြင်း，အသံပြုခြင်း，စားခြင်းတို့၌။ အမတိ၊ အမေတိ၊ အမယတိ။,3,1
33576,my,14,amba,amba,Amba,amba：အမ္ဗ<br>  ဘူ = သဒ္ဒ ရက္ခဿာဒ ဂတီသု-အသံပြုခြင်း，စောင့်ရှောက်ခြင်း，သာယာခြင်း，သွားခြင်းတို့၌။ အမ္ဗတိ။,4,1
34114,my,14,ambha,ambha,Ambha,ambha：အမ႓<br>  ဘူ = သဒ္ဒေ-အသံပြုခြင်း၌။ အမ႓တိ။,5,1
34386,my,14,amha,aṃha,Aṃha,aṃha：အံဟ<br>  ဘူ = ဂတိယံ-သွားခြင်း၌။ အံဟတိ။<br>  စု = ဘာသနဒိတ္တီသု-ပြောဆိုခြင်း，ထွန်းပခြင်းတို့၌။ အံဟေတိ၊ အံဟယတိ။,4,1
34929,my,14,amka,aṅka,Aṅka,aṅka：အံက<br>  ဘူ+စု = ဂတိ လက္ခဏေသု-သွားခြင်း，အမှတ်တံဆိပ် ခတ်နှိပ်ခြင်းတို့၌။ အင်္ကတိ၊ အင်္ကေတိ၊ အင်္ကယတိ။ ဘူဝါဒိဂိုဏ်း，စုရာဒိဂိုဏ်းဆိုင်ရာ၌- ၁။ သံယုတ် အဆုံးမရှိခြင်း။ ၂။ အနေကဿရဓာတ်ဖြစ်ခြင်း။ ၃။ ဣအက္ခရာအနုဗန်ပါရှိခြင်း ဤလက္ခဏာ ၃-မျိုးနှင့် ပြည့်စုံသောဓာတ်ဖြစ်လျှင် အမြဲ နိဂ္ဂဟိတ်လာရသည်။<br>  * ဘူနှင့်စုဓာတ်၊ သံယုတ်လွှတ်၍၊ နေကဿရ၊ ဣဆုံးက၊ လာရနိဂ္ဂဟိတ်။,4,1
35215,my,14,amsa,aṃsa,Aṃsa,aṃsa：အံသ<br>  စု = ဝိဘဇန သင်္ဃာတေသု-ဝေဖန်ခြင်း，ပေါင်းစုခြင်းတို့၌၊ သိယာ-ဖြစ်၏။ အံသေတိ၊ အံသယတိ,4,1
35648,my,14,ana,aṇa,Aṇa,aṇa：အဏ<br>  ဘူ = သဒ္ဒဇ္ဈယေ-အသံပြုခြင်း，သရဇ္ဈာယ်ခြင်းတို့၌။<br>  ဒိ = ဇီဝနေ-အသက်ရှည်ခြင်း，အသက်မွေးခြင်း၌။ အဏတိ၊ အဏျတေ။,3,1
35653,my,14,ana,ana,Ana,ana：အန<br>  ဘူ+ဒိ = ပါဏ ဇီဝနေသု-ရှူရှိုက်ခြင်း，အသက်ရှည်ခြင်းတို့၌။ အနတိ၊ အနျတိ။,3,1
35657,my,14,ana,āṇa,Āṇa,āṇa：အာဏ<br>  ဘူ+စု = ပေသနေ-စေခိုင်းခြင်း၌။,3,1
