id,book,name,term,m_title,p_title,abbr
185,166,Uparipaṇṇāsapāḷi,majimanikaya,majimanikaya,majimanikaya,ma.
186,167,Sagāthāvaggo,saṃyuttanikāya,saṃyuttanikāya,saṃyuttanikāya,saṃ.
187,168,Nidānavaggo,saṃyuttanikāya,saṃyuttanikāya,saṃyuttanikāya,saṃ.
188,169,Khandhavaggo,saṃyuttanikāya,saṃyuttanikāya,saṃyuttanikāya,saṃ.
189,170,Saḷāyatanavaggo,saṃyuttanikāya,saṃyuttanikāya,saṃyuttanikāya,saṃ.
190,171,Mahāvaggo,saṃyuttanikāya,saṃyuttanikāya,saṃyuttanikāya,saṃ.
191,172,dhammasaṅgaṇī-mūlaṭīkā,dhammasaṅgaṇī-mūlaṭīkā,dhammasaṅgaṇī-mūlaṭīkā,dhammasaṅgaṇī-mūlaṭīkā,mūlaṭī. 1
192,173,vibhaṅga-mūlaṭīkā,vibhaṅga-mūlaṭīkā,vibhaṅga-mūlaṭīkā,vibhaṅga-mūlaṭīkā,mūlaṭī. 2
193,173,Vibhaṅga-anuṭīkā,anuṭīkā,anuṭīkā,anuṭīkā,anuṭī. 2
194,174,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,mūlaṭī. 3
195,174,mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,mūlaṭī. 3
196,174,mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,mūlaṭī. 3
197,174,mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,mūlaṭī. 3
198,174,mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,pañcapakaraṇa-mūlaṭīkā,mūlaṭī. 3
199,175,dhammasaṅgaṇī-anuṭīkā,dhammasaṅgaṇī-anuṭīkā,dhammasaṅgaṇī-anuṭīkā,dhammasaṅgaṇī-anuṭīkā,anuṭī. 1
200,176,dhātukathāpakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,anuṭī. 3
201,176,puggalapaññattipakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,anuṭī. 3
202,176,kathāvatthupakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,anuṭī. 3
203,176,anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,anuṭī. 3
204,176,anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,pañcapakaraṇa-anuṭīkā,anuṭī. 3
205,177,Ganthārambhakathā,abhidhammāvatāro,abhidhammāvatāro,abhidhammāvatāro,abhidhammāvatāro
206,177,nāmarūpaparicchedo,nāmarūpaparicchedo,nāmarūpaparicchedo,nāmarūpaparicchedo,nāmarūpaparicchedo
207,177,paramatthavinicchayo,paramatthavinicchayo,paramatthavinicchayo,paramatthavinicchayo,paramatthavinicchayo
208,177,saccasaṅkhepo,saccasaṅkhepo,saccasaṅkhepo,saccasaṅkhepo,saccasaṅkhepo
