id,book,name,term,m_title,p_title,abbr
66,60,Telakaṭāhagāthā,telakaṭāhagāthā,telakaṭāhagāthā,telakaṭāhagāthā,telakaṭāhagāthā
67,61,Cūḷaganthavaṃsapāḷi,cūḷaganthavaṃsapāḷi,cūḷaganthavaṃsapāḷi,cūḷaganthavaṃsapāḷi,cūḷaganthavaṃsapāḷi
68,62,Sāsanavaṃsappadīpikā,sāsanavaṃsappadīpikā,sāsanavaṃsappadīpikā,sāsanavaṃsappadīpikā,sāsanavaṃsappadīpikā
69,63,Mahāvaṃsapāḷi,mahāvaṃsapāḷi,mahāvaṃsapāḷi,mahāvaṃsapāḷi,mahāvaṃsapāḷi
70,64,Visuddhimaggo(Paṭhamo bhāgo),visuddhimagga,visuddhimagga,visuddhimagga,visuddhi.
71,65,Visuddhimaggo(Dutiyo bhāgo),visuddhimagga,visuddhimagga,visuddhimagga,visuddhi.
72,66,Visuddhimagga-mahāṭīkā(Paṭhamo bhāgo),Visuddhimagga-mahāṭīkā,Visuddhimagga-mahāṭīkā,Visuddhimagga-mahāṭīkā,visuddhi. ṭī.
73,67,Visuddhimagga-mahāṭīkā(Dutiyo bhāgo),Visuddhimagga-mahāṭīkā,Visuddhimagga-mahāṭīkā,Visuddhimagga-mahāṭīkā,visuddhi. ṭī.
74,68,Visuddhimagga nidānakathā,visuddhimagga-nidānakathā,visuddhimagga-nidānakathā,visuddhimagga-nidānakathā,visuddhimagga-nidānakathā
75,69,Paṭṭhānapāḷi(Dutiyo bhāgo),paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhāna.
76,70,Paṭṭhānapāḷi(Tatiyo bhāgo),paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhāna.
77,71,Paṭṭhānapāḷi(Catuttho bhāgo),paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhāna.
78,72,Paṭṭhānapāḷi(Pañcamo bhāgo),paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhāna.
79,73,Dhammasaṅgaṇīpāḷi,dhammasaṅgaṇīpāḷi,dhammasaṅgaṇīpāḷi,dhammasaṅgaṇīpāḷi,abhi. dha.
80,74,Vibhaṅgapāḷi,vibhaṅgapāḷi,vibhaṅgapāḷi,vibhaṅgapāḷi,abhi. vi.
81,75,Dhātukathāpāḷi,dhātukathāpāḷi,dhātukathāpāḷi,dhātukathāpāḷi,abhi. dhā.
82,76,Puggalapaññattipāḷi,puggalapaññattipāḷi,puggalapaññattipāḷi,puggalapaññattipāḷi,abhi. pu.
83,77,Kathāvatthupāḷi,kathāvatthupāḷi,kathāvatthupāḷi,kathāvatthupāḷi,abhi. ka.
84,78,Yamakapāḷi (paṭhamo bhāgo),yamakapāḷi,yamakapāḷi,yamakapāḷi,yamaka.
85,79,Yamakapāḷi (dutiyo bhāgo),yamakapāḷi,yamakapāḷi,yamakapāḷi,yamaka.
86,80,Yamakapāḷi (tatiyo bhāgo),yamakapāḷi,yamakapāḷi,yamakapāḷi,yamaka.
87,81,Paṭṭhānapāḷi(Paṭhamo bhāgo),paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhānapāḷi,paṭṭhāna.
88,82,Dasakanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
89,83,Ekādasakanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
90,84,Ekakanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
91,85,Dukanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
92,86,Tikanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
93,87,Catukkanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
94,88,Pañcakanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
95,89,Chakkanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
96,90,Sattakanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
97,91,Aṭṭhakanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
98,92,Navakanipātapāḷi,aṅguttaranikāya,aṅguttaranikāya,aṅguttaranikāya,aṃ.
99,93,Sīlakkhandhavaggapāḷi,dīghanikāya,dīghanikāya,dīghanikāya,dī.
100,94,Mahāvaggapāḷi,dīghanikāya,dīghanikāya,dīghanikāya,dī.
101,95,Pāthikavaggapāḷi,dīghanikāya,dīghanikāya,dīghanikāya,dī.
102,96,Dhammasaṅgaṇī-aṭṭhakathā,dhammasaṅgaṇī-aṭṭhakathā,dhammasaṅgaṇī-aṭṭhakathā,dhammasaṅgaṇī-aṭṭhakathā,abhi. ṭṭha. 1
