id,book,par_num,level,class,title,text
NULL,p71,1,100,centered,," Namo tassa bhagavato arahato sammāsambuddhassa"
NULL,p71,2,100,nikaya,,Abhidhammapiṭake
NULL,p71,3,1,book,"Paṭṭhānapāḷi(Catuttho bhāgo)",Paṭṭhānapāḷi
NULL,p71,4,4,subhead,"(Catuttho bhāgo)","(Catuttho bhāgo)"
NULL,p71,5,3,title,"Dhammānulome dukapaṭṭhānaṃ","Dhammānulome dukapaṭṭhānaṃ"
NULL,p71,6,2,chapter,"12. Kilesagocchakaṃ","12. Kilesagocchakaṃ"
NULL,p71,7,3,title,"75. Kilesadukaṃ","75. Kilesadukaṃ"
NULL,p71,8,3,title,"1. Paṭiccavāro","1. Paṭiccavāro"
NULL,p71,9,3,title,"1. Paccayānulomaṃ","1. Paccayānulomaṃ"
NULL,p71,10,3,title,"1. Vibhaṅgavāro","1. Vibhaṅgavāro"
NULL,p71,11,4,subhead,Hetupaccayo,Hetupaccayo
NULL,p71,12,100,bodytext,,"1. Kilesaṃ  dhammaṃ paṭicca kileso dhammo uppajjati hetupaccayā – lobhaṃ paṭicca moho diṭṭhi thinaṃ [thīnaṃ (sī. syā.)] uddhaccaṃ ahirikaṃ anottappaṃ, lobhaṃ paṭicca moho diṭṭhi uddhaccaṃ ahirikaṃ anottappaṃ, lobhaṃ paṭicca moho māno thinaṃ uddhaccaṃ ahirikaṃ anottappaṃ, lobhaṃ paṭicca moho māno uddhaccaṃ ahirikaṃ anottappaṃ, lobhaṃ paṭicca moho thinaṃ uddhaccaṃ ahirikaṃ anottappaṃ, lobhaṃ paṭicca moho uddhaccaṃ ahirikaṃ anottappaṃ; dosaṃ paṭicca moho thinaṃ uddhaccaṃ ahirikaṃ anottappaṃ, dosaṃ paṭicca moho uddhaccaṃ ahirikaṃ anottappaṃ; vicikicchaṃ paṭicca moho uddhaccaṃ ahirikaṃ anottappaṃ; uddhaccaṃ paṭicca moho ahirikaṃ anottappaṃ. (1)"
