id,book,par_num,level,class,title,text
NULL,p33,1,100,centered,," Namo tassa bhagavato arahato sammāsambuddhassa"
NULL,p33,2,1,book,Sūrassatīnīti,Sūrassatīnīti
NULL,p33,3,4,subhead,"Paṭhamo bhāgo","Paṭhamo bhāgo"
NULL,p33,4,2,chapter,Paṇāmagāthā,Paṇāmagāthā
NULL,p33,5,8,hangnum,1.,1.
NULL,p33,6,100,gatha1,," Mukhamhā  bhagavantassa,"
NULL,p33,7,100,gatha2,,"Sugandhakamalā subhā;"
NULL,p33,8,100,gatha3,,"Sañjātaṃ uttamaṃ vāṇiṃ,"
NULL,p33,9,100,gathalast,,"Vandāmi vittamānasā."
NULL,p33,10,8,hangnum,2.,2.
NULL,p33,11,100,gatha1,," Samajjhiṭṭho racissāmi,"
NULL,p33,12,100,gatha2,,"Dakkhena rājamantinā;"
NULL,p33,13,100,gatha3,,"Nāmena santena,"
NULL,p33,14,100,gatha2,,"Nītiṃ lokahitāvahaṃ;"
NULL,p33,15,100,gatha3,,"Sālaṅkāraṃ sopadesaṃ,"
NULL,p33,16,100,gathalast,,"Nāmenāhaṃ svarassatiṃ."
NULL,p33,17,8,hangnum,3.,3.
NULL,p33,18,100,gatha1,," Pekkhantvimaṃ nītiṃ santā,"
NULL,p33,19,100,gatha2,,Mañjūsarukkhasannibhaṃ;
NULL,p33,20,100,gatha3,,"Nānopadesasaṃpuṇṇaṃ,"
NULL,p33,21,100,gathalast,,"Sadatthakusalā sadā."
NULL,p33,22,2,chapter,Sūrassatīnīti,Sūrassatīnīti
NULL,p33,23,8,hangnum,1.,1.
NULL,p33,24,100,gatha1,," Kataññutā  ca saccañca,"
NULL,p33,25,100,gatha2,,"Lokasārā hi te duve;"
NULL,p33,26,100,gatha3,,"Lokāpi tehi tiṭṭhanti,"
NULL,p33,27,100,gathalast,,"Raṭṭhaṃ akaṃsu issaraṃ."
NULL,p33,28,8,hangnum,2.,2.
NULL,p33,29,100,gatha1,," Kākāca  dujjanā loke,"
NULL,p33,30,100,gatha2,,"Malībhūtāva sabbadā;"
NULL,p33,31,100,gatha3,,"Iṭṭhaṃ guṇaṃ nāsayanti,"
NULL,p33,32,100,gathalast,,"Te ve lokassa verino."
NULL,p33,33,100,gatha1,,"Migānaṃ  siṅgālo anto,"
NULL,p33,34,100,gathalast,,"Pakkhīnaṃ pana vāyaso."
NULL,p33,35,100,gatha1,,"Akāraṇaverī  honti,"
NULL,p33,36,100,gatha2,,"Macchānaṃ dhīvarā yathā;"
NULL,p33,37,100,gatha3,,"Guṇīnaṃ sajjanānañca,"
NULL,p33,38,100,gathalast,,"Dujjanā niccaverino."
NULL,p33,39,8,hangnum,3.,3.
NULL,p33,40,100,gatha1,," Siriṃ  bhonto suposetha,"
NULL,p33,41,100,gatha2,,"Siri mūlā hi sampadā;"
NULL,p33,42,100,gatha3,,"Siriya idha jotanti,"
NULL,p33,43,100,gathalast,,"Sirī sā sabbasiddhikā."
NULL,p33,44,8,hangnum,4.,4.
NULL,p33,45,100,gatha1,," Musā  tamokarā loke,"
NULL,p33,46,100,gatha2,,"Saccaṃ mīditikārakaṃ;"
NULL,p33,47,100,gatha3,,"Musātamena dukkhanti,"
NULL,p33,48,100,gathalast,,"Saccābhāya sukhantive."
NULL,p33,49,100,gatha1,,"Suvijānaṃ  siṅgālānaṃ,"
NULL,p33,50,100,gatha2,,"Sakuṇānañca vassitaṃ;"
NULL,p33,51,100,gatha3,,"Manussavassitaṃ rāja,"
NULL,p33,52,100,gathalast,,"Dubbijānataraṃ tato."
NULL,p33,53,8,hangnum,5.,5.
NULL,p33,54,100,gatha1,," Kappaggisadisā  issā,"
NULL,p33,55,100,gatha2,,"Jhāpeti sabbasampadaṃ;"
NULL,p33,56,100,gatha3,,"Muditā kappameghova,"
NULL,p33,57,100,gathalast,,"Ropeti sabbasampadaṃ."
NULL,p33,58,8,hangnum,6.,6.
NULL,p33,59,100,gatha1,," Yathā  asanthirā thambhā,"
NULL,p33,60,100,gatha2,,"Thusarāsimhi ussitā;"
NULL,p33,61,100,gatha3,,"Tatheva kapicittānaṃ,"
NULL,p33,62,100,gathalast,,"Kammantā cañcalaṅgatā."
NULL,p33,63,100,gatha1,,"Haliddirāgaṃ  kapicittaṃ;"
NULL,p33,64,100,gatha2,,"Purisaṃ rāgavirāginaṃ,"
NULL,p33,65,100,gatha3,,"Edisaṃ tāta māsevi;"
NULL,p33,66,100,gathalast,,"Nimmanussampi ce siyā."
NULL,p33,67,8,hangnum,"7. [Ka]","7. [Ka]"
NULL,p33,68,100,gatha1,," Pupphacumbi  cittapattī,"
NULL,p33,69,100,gatha2,,"Sakavaṇṇena majjito;"
NULL,p33,70,100,gatha3,,"Vikkamī pupphato pupphaṃ,"
NULL,p33,71,100,gathalast,,"Nassāgāraṃ na saṅgamo."
NULL,p33,72,100,bodytext,,[Kha]
NULL,p33,73,100,gatha1,,"Kippilikā dubbaṇṇāpi,"
NULL,p33,74,100,gatha2,,"Samaggāca parakkamā;"
NULL,p33,75,100,gatha3,,"Mā hotha pupphacumbīva,"
NULL,p33,76,100,gathalast,,"Hotha vo pacikā yathā."
NULL,p33,77,8,hangnum,1.,1.
NULL,p33,78,100,gatha1,," Ye  maranti kīḷantā te,"
NULL,p33,79,100,gatha2,,"Svānā aññoññamoditā;"
NULL,p33,80,100,gatha3,,"Disvāna chaṭṭitaṃ bhattaṃ,"
NULL,p33,81,100,gathalast,,"Sīghaverī vihiṃsare."
NULL,p33,82,8,hangnum,2.,2.
NULL,p33,83,100,gatha1,," Tathekepi  janā dāni,"
NULL,p33,84,100,gatha2,,"Samaggā ññoññamoditā;"
NULL,p33,85,100,gatha3,,"Dhanahetu vihiṃsanti,"
NULL,p33,86,100,gathalast,,"Dhīratthu sīghaverikā."
NULL,p33,87,8,hangnum,9.,9.
NULL,p33,88,100,gatha1,," Vasante  hemante gimhe;"
NULL,p33,89,100,gatha2,,"Neva tālā visesino;"
NULL,p33,90,100,gatha3,,"Thiracittā janā santā;"
NULL,p33,91,100,gathalast,,"Sukhadukkhesu niccalā."
NULL,p33,92,8,hangnum,10.,10.
NULL,p33,93,100,gatha1,," Yathā  pavaṭṭamānamhi,"
NULL,p33,94,100,gatha2,,"Suṭṭhu tiṭṭhati geṇṭhuke;"
NULL,p33,95,100,gatha3,,"Appavaṭṭe bhūmyaṃ seti,"
NULL,p33,96,100,gathalast,,"Tatheva geṇṭhuko jano."
NULL,p33,97,8,hangnum,11.,11.
NULL,p33,98,100,gatha1,," Agghāpetuṃ  nasakkonti,"
NULL,p33,99,100,gatha2,,"Kālañhi kālikā janā;"
NULL,p33,100,100,gatha3,,"Vajirādiñca sakkonti,"
NULL,p33,101,100,gathalast,,"Tena kālo anagghiko."
NULL,p33,102,8,hangnum,"12. [Ka]","12. [Ka]"
NULL,p33,103,100,gatha1,," Asano  hi dīghaddhāno,"
NULL,p33,104,100,gatha2,,"Sārasāro sugandhiko;"
NULL,p33,105,100,gatha3,,"Niggandho tveva nissāro,"
NULL,p33,106,100,gathalast,,"Dīghaddhānopi simbalī."
NULL,p33,107,100,bodytext,,[Kha]
NULL,p33,108,100,gatha1,,"Tatheveke  janā loke,"
NULL,p33,109,100,gatha2,,"Dīghaddhānā susārakā;"
NULL,p33,110,100,gatha3,,"Nissārā keci pheggūva,"
NULL,p33,111,100,gathalast,,"Dīghaddhānāpi goyathā."
NULL,p33,112,8,hangnum,13.,13.
NULL,p33,113,100,gatha1,," Upakāro  cāpakāro,"
NULL,p33,114,100,gatha2,,"Yasmiṃ gacchati naṭṭhataṃ;"
NULL,p33,115,100,gatha3,,"Pāsāṇahadayassassa,"
NULL,p33,116,100,gathalast,,"Jīvatītyā bhidhāmudhā."
NULL,p33,117,100,gatha1,,"Pasādo nipphalo yassa,"
NULL,p33,118,100,gatha2,,"Kopocāpi niratthako;"
NULL,p33,119,100,gatha3,,"Na taṃ saṅgantu miccheyya,"
NULL,p33,120,100,gathalast,,"Thīpumāva napuṃsakaṃ."
NULL,p33,121,8,hangnum,14.,14.
NULL,p33,122,100,gatha1,," Upacāro  hi kātabbo,"
NULL,p33,123,100,gatha2,,"Na yāva sohadaṃ bhave;"
