"gramma","count"
apa.thera1.1.,26
apa.thera1.10.,8
apa.thera1.11.,8
apa.thera1.12.,9
apa.thera1.13.,9
apa.thera1.14.,10
apa.thera1.15.,11
apa.thera1.16.,10
apa.thera1.17.,3
apa.thera1.18.,1
apa.thera1.2.,7
apa.thera1.21.,8
apa.thera1.22.,1
apa.thera1.23.,1
apa.thera1.3.,2
apa.thera1.35.,1
apa.thera1.36.,2
apa.thera1.37.,2
apa.thera1.38.,2
apa.thera1.39.,24
apa.thera1.4.,4
apa.thera1.40.,7
apa.thera1.41.,1
apa.thera1.5.,2
apa.thera1.7.,2
apa.thera2.,115
apa.thera2.43.,1
apa.thera2.44.,7
apa.thera2.45.,4
apa.thera2.46.,9
apa.thera2.47.,7
apa.thera2.48.,9
apa.thera2.49.,9
apa.thera2.50.,14
apa.thera2.51.,16
apa.thera2.52.,13
apa.thera2.53.,5
apa.thera2.54.,7
apa.thera2.55.,7
apa.thera2.56.,5
apa.therī.,1
apa.therī.2.,1
apa.therī.2.3.,1
apa.therī1.,1
apa.therī2.,53
apa.therī2.1.,12
apa.therī2.2.,18
apa.therī2.3.,17
apa.therī2.4.,6
attaparāmāsapuññādiphalatācodanānayenadī.ni.ṭī.,1
attaparāmāsapuññādiphalatācodanānayenadī.ni.ṭī.1.,2
"aṭṭha.,saṃ.ni.",1
"aṭṭha.,saṃ.ni.3.",1
aṭṭha.ni.,1
aṭṭha.ni.9.,1
avipākaṃ,1
Avipākaṃ–,78
bu.baṃ.aṭṭha.,1
bu.va.,1
bu.va.10.,1
bu.va.aṭṭha.,1
bu.va.aṭṭha.1.,1
bu.vaṃ.,139
bu.vaṃ.1.,19
bu.vaṃ.11.,1
bu.vaṃ.12.,2
bu.vaṃ.13.,1
bu.vaṃ.14.,1
bu.vaṃ.15.,1
bu.vaṃ.16.,1
bu.vaṃ.17.,1
bu.vaṃ.18.,1
bu.vaṃ.19.,1
bu.vaṃ.2.,80
bu.vaṃ.20.,1
bu.vaṃ.21.,1
bu.vaṃ.22.,1
bu.vaṃ.23.,1
bu.vaṃ.24.,1
bu.vaṃ.25.,1
bu.vaṃ.26.,1
bu.vaṃ.27.,2
bu.vaṃ.28.,7
bu.vaṃ.3.,1
bu.vaṃ.5.,1
bu.vaṃ.54.,1
bu.vaṃ.6.,1
bu.vaṃ.7.,1
bu.vaṃ.8.,1
bu.vaṃ.9.,1
bu.vaṃ.aṭṭha.,33
bu.vaṃ.aṭṭha.1.,7
bu.vaṃ.aṭṭha.2.,3
bu.vaṃ.aṭṭha.4.,9
byākhyāsudhā,2
byākhyāsudhā1.,2
byākhyāsudhā1.8.,2
byasanasannipātakāraṇā–dī.ni.ṭī.,1
byasanasannipātakāraṇā–dī.ni.ṭī.1.,1
caṃ,1
"caṃ,",2
cariyā,2
cariyā.,77
cariyā.1.,26
cariyā.1.16.,1
cariyā.2.,18
cariyā.3.,26
cariyā.aṭṭha.,6
cariyā.aṭṭha.2.,1
cariyā.aṭṭha.3.,1
cariyā.aṭṭha.nidānakathā.,1
cariyā1.,1
cariyā3.,1
cariyāaṭṭha.,1
cariyāaṭṭha.2.,1
caūḷava.,2
cintāmaṇiṭīkā,20
cintāmaṇiṭīkā1.,1
cintāmaṇiṭīkā1.2.,1
cintāmaṇiṭīkā12.,1
cintāmaṇiṭīkā14.,1
cintāmaṇiṭīkā15.,1
cintāmaṇiṭīkā16.,5
cintāmaṇiṭīkā18.,1
cintāmaṇiṭīkā19.,1
cintāmaṇiṭīkā5.,1
cintāmaṇiṭīkā6.,2
cintāmaṇiṭīkā7.,6
cūḷa.ni.,1
cūlani.,1
cūḷani.,346
cūḷani.3.,2
cūḷani.ajitamāṇavapucchāniddesa.,1
cūḷani.aṭṭha.,15
cūḷani.pārāyanavagga.,1
cūḷava,1
cuḷava.,6
cūḷava.,858
cuḷava.aṭṭha.,3
cūḷava.aṭṭha.,273
cūḷva.,1
daī.ni.,2
daī.ni.1.,2
dha.pa.,763
Dha.pa.,7
dha.pa.1.,2
"dha.pa.396,su.ni.",1
dha.pa.aṭṭha.,95
dha.pa.aṭṭha.1.,35
dha.pa.aṭṭha.1.1.,1
dha.pa.aṭṭha.1.2.,1
dha.pa.aṭṭha.2.,25
dha.sa.,954
Dha.sa.,1
dha.sa.1.,3
dha.sa.11.,1
"dha.sa.1237,vibha.",1
dha.sa.16.,1
dha.sa.3.,2
dha.sa.a.,3
dha.sa.anuṭī.,1
dha.sa.aṭṭa.,2
dha.sa.aṭṭha.,210
Dha.sa.aṭṭha.,1
dha.sa.aṭṭha.1.,1
dha.sa.mūlaṭī.,21
dha.sa.ṭī.,2
dha.saṃ.,1
dhammapadaaṭṭha.,1
dhasa.,1
dhātu.,54
dhātu.aṭṭha.,6
"dhātvatthasaṅgaha,",1
dī.,2
dī.1.,2
dī.3.,1
dī.na.,1
dī.na.1.,1
dī.ni.,2228
Dī.ni.,10
dī.ni.1.,763
Dī.ni.1.,1
dī.ni.1.1.,2
dī.ni.1.3.,1
dī.ni.1.7.,1
dī.ni.10.,7
dī.ni.11.,9
dī.ni.2.,888
Dī.ni.2.,7
dī.ni.3.,738
Dī.ni.3.,2
dī.ni.3.1.,1
"dī.ni.3.230,vibha.",2
"dī.ni.3.324,356,ma.ni.",1
"dī.ni.3.324,356,ma.ni.1.",1
dī.ni.5.,6
dī.ni.6.,7
dī.ni.7.,1
dī.ni.8.,2
dī.ni.9.,3
dī.ni.abhi.ṭī.,8
dī.ni.abhi.ṭī.1.,7
dī.ni.abhi.ṭī.2.,1
dī.ni.aṭṭa.,1
dī.ni.aṭṭa.2.,1
dī.ni.aṭṭha.,430
Dī.ni.aṭṭha.,2
dī.nī.aṭṭha.,1
dī.ni.aṭṭha.1.,192
Dī.ni.aṭṭha.1.,1
dī.ni.aṭṭha.1.1ma.ni.aṭṭha.,1
dī.ni.aṭṭha.1.1ma.ni.aṭṭha.1.,1
dī.ni.aṭṭha.2.,131
Dī.ni.aṭṭha.2.,1
dī.nī.aṭṭha.2.,1
dī.ni.aṭṭha.3.,82
dī.ni.ṭi.,1
dī.ni.ṭī.,242
Dī.ni.ṭī.,1
dī.ni.ṭi.1.,1
dī.ni.ṭī.1.,174
Dī.ni.ṭī.1.,1
dī.ni.ṭī.2.,38
dī.ni.ṭī.3.,14
dī.niaṭṭha.,1
dī.niaṭṭha.1.,1
dukamātikā,2
etanevasārattha.ṭī.,1
etanevasārattha.ṭī.cūḷavagga3.,1
ganthakaraṇaṃdha.sa.mūlaṭī.,1
iti.,1
"iti.90,a.ni.",1
"iti.90,a.ni.4.",1
itivu.,282
itivu.2.,3
itivu.2.22.,3
itivu.5.,2
itivu.aṭṭa.,1
itivu.aṭṭha.,62
itivuttake,1
jā.,1086
Jā.,2
jā.1.,769
Jā.1.,1
jā.1.1.,153
jā.1.10.,78
jā.1.11.,23
Jā.1.11.,1
jā.1.12.,20
jā.1.13.,33
jā.1.14.,30
jā.1.15.,116
jā.1.16.,34
jā.1.2.,70
jā.1.3.,32
jā.1.4.,63
jā.1.5.,36
jā.1.6.,13
jā.1.7.,38
jā.1.8.,18
