"gramma","count"
jā.aṭṭha.1.1.,9
jā.aṭṭha.3.,9
a.ni.aṭṭha.3.8.,9
jā.aṭṭha.5.,9
dī.ni.11.,9
apa.1.,8
Saṃ.ni.2.,8
ma.ni.ṭī.1.,8
abhidha.,8
paṭṭhā.1.2.,8
dī.ni.abhi.ṭī.,8
apa.thera1.21.,8
visuddhi.mahā.,8
apa.thera1.11.,8
apa.thera1.10.,8
dī.ni.abhi.ṭī.1.,7
bu.vaṃ.aṭṭha.1.,7
sa.ni.,7
apa.thera2.54.,7
nāma.pari.,7
Ma.ni.,7
bu.vaṃ.28.,7
sa.sa.,7
apa.thera2.44.,7
Dī.ni.2.,7
dī.ni.10.,7
dī.ni.6.,7
apa.thera1.2.,7
a.ni.ṭī.3.8.,7
u.vi.,7
pārā.1.,7
apa.thera1.40.,7
Dha.pa.,7
apa.thera2.55.,7
apa.thera2.47.,7
ma.ni.aṭṭha.4.,6
dī.ni.5.,6
a.ni.ṭī.3.10.,6
a.ni.ṭī.2.2.,6
mi.pa.5.3.,6
a.ni.ṭī.3.5.,6
kathā.anuṭī.,6
paṭṭhā.3.3.,6
apa.therī2.4.,6
cariyā.aṭṭha.,6
dhātu.aṭṭha.,6
mi.pa.4.2.,6
jā.aṭṭha.2.2.,6
paṭi.,6
a.ni.aṭṭha.3.6.,6
cuḷava.,6
"pā,",6
apa.aṭṭha.2.7.,6
pāṇinī,6
paṭṭhā.1.4.,6
cintāmaṇiṭīkā7.,6
cintāmaṇiṭīkā16.,5
saṃ.ni.30.,5
apa.thera2.53.,5
saṃ.ni.ṭī.2.5.,5
sārattha.ṭī.3.,5
paṭṭhā.4.13.,5
paṭṭhā.2.22.,5
a.ni.ṭī.3.6.,5
jā.aṭṭha.5.21.,5
theragā.1.,5
khu.pā.4.,5
khu.pā.9.,5
vi.1.,5
Ma.ni.1.,5
A.ni.,5
visuddhi.mahā.2.,5
yama.1.mūlayamaka.,5
mi.pa.2.3.,5
apa.thera2.56.,5
"3,",4
paṭṭhā.2.17.,4
amara1.,4
paṭṭhā.2.6.,4
mi.pa.5.4.,4
saṃni.,4
a.ni.aṭṭha.3.5.,4
paṭṭhā,4
parama.vi.,4
saṃ.ni.ṭī.2.3.,4
paṭṭhā.3.4.,4
apa.thera2.45.,4
su.ni.1.,4
"4.",4
a.ni.aṭṭha.3.9.,4
apa.thera1.4.,4
paṭṭhā.4.,4
apa.2.,4
mi.pa.1.,4
mi.pa.6.5.,4
vi.vi.ṭī.parivāra2.,4
mi.pa.2.7.,4
mi.pa.6.6.,4
theragā.1.15.,4
abhi.aṭṭha.,4
vi.aṭṭha.,4
vibha.anuṭī.,4
yama.3.dhammayamaka.,4
visuddhi.mahā.1.,3
a.ni.aṭṭha.2.2.,3
jā.aṭṭha.4.10.,3
jā.aṭṭha.3.4.,3
dī.ni.9.,3
therīgā.aṭṭha.,3
amara16.,3
sa.ni.5.,3
cuḷava.aṭṭha.,3
paribhāsendusekhara,3
mi.pa.4.4.,3
a.ni.aṭṭha.3.7.,3
itivu.2.,3
apa.1.10.,3
"ka,",3
dha.sa.1.,3
paṭṭhā1.,3
ma.ni.ṭī.2.,3
sī.pī.a.ni.,3
pāṇini3.,3
bu.vaṃ.aṭṭha.2.,3
khu.pā.3.,3
paṭṭhā.2.20.,3
mi.pa.2.2.,3
dha.sa.a.,3
itivu.2.22.,3
Mahāni.,3
paṭṭhā1.1.,3
pāṇini1.,3
