520000,morapiñchamattampi,morapinchamattampi,2,2,0,0,18
520001,heṭṭhātalameva,hetthatalameva,1,1,0,0,14
520002,tagarāti,tagarati,2,0,2,0,8
520003,parūḷhatagarā,parulhatagara,1,1,0,0,13
520004,tagaragandhasugandhino,tagaragandhasugandhino,1,1,0,0,22
520005,nagāti,nagati,5,1,4,0,6
520006,rūḷhavanā,rulhavana,1,1,0,0,9
520007,pupphaphalūpagarukkhasañchannāti,pupphaphalupagarukkhasanchannati,1,1,0,0,32
520008,V6.0122,V6.0122,1,1,0,0,7
520009,abhiññāsamāpattilābhinova,abhinnasamapattilabhinova,1,1,0,0,25
520010,mahājambudīpe,mahajambudipe,1,1,0,0,13
520011,nāmāvuso,namavuso,4,4,0,0,8
520012,abhiññāsamāpattilābhino,abhinnasamapattilabhino,2,2,0,0,23
520013,āpucchissāmi,apucchissami,2,2,0,0,12
520014,P6.0101,P6.0101,1,1,0,0,7
520015,M6.0126,M6.0126,1,1,0,0,7
520016,dassessāmassa,dassessamassa,1,1,0,0,13
520017,uttarahimavantapadese,uttarahimavantapadese,1,1,0,0,21
520018,sīdānadiyā,sidanadiya,1,1,0,0,10
520019,V6.0123,V6.0123,1,1,0,0,7
520020,jivhāviññeyyarase,jivhavinneyyarase,2,2,0,0,17
520021,idhānetuṃ,idhanetum,2,2,0,0,9
520022,sīdānadītīre,sidanaditire,2,2,0,0,12
520023,sīdānadītīraṃ,sidanaditiram,1,1,0,0,13
520024,M6.0127,M6.0127,1,1,0,0,7
520025,khandhāvārassa,khandhavarassa,1,1,0,0,14
520026,tāpasasahassānaṃ,tapasasahassanam,1,1,0,0,16
520027,sassakammaṃ,sassakammam,2,2,0,0,11
520028,petalokaṃ,petalokam,61,59,2,0,9
520029,P6.0102,P6.0102,1,1,0,0,7
520030,pakiracārīti,pakiracariti,1,0,1,0,12
520031,ekacārike,ekacarike,1,1,0,0,9
520032,samāhitacitte,samahitacitte,3,3,0,0,13
520033,V6.0124,V6.0124,1,1,0,0,7
520034,M6.0128,M6.0128,1,1,0,0,7
520035,mahāpurisavitakkāva,mahapurisavitakkava,1,1,0,0,19
520036,vedehamanusāsitvā,vedehamanusasitva,2,2,0,0,17
520037,saggakāyaṃ,saggakayam,4,4,0,0,10
520038,sudhammādevasabhāyaṃ,sudhammadevasabhayam,2,2,0,0,20
520039,V6.0125,V6.0125,1,1,0,0,7
520040,P6.0103,P6.0103,1,1,0,0,7
520041,dibbayāne,dibbayane,3,3,0,0,9
520042,M6.0129,M6.0129,1,1,0,0,7
520043,yojentassa,yojentassa,1,1,0,0,10
520044,pācīnasīhapañjaraṃ,pacinasihapanjaram,1,1,0,0,18
520045,uggacchantena,uggacchantena,1,1,0,0,13
520046,sukhakathaṃ,sukhakatham,2,2,0,0,11
520047,sindhavasahassayutte,sindhavasahassayutte,1,1,0,0,20
520048,mātalisaṅgāhake,matalisangahake,1,1,0,0,15
520049,tuṭṭhappahaṭṭho,tutthappahattho,1,1,0,0,15
520050,vimhayavasenevamāhaṃsu,vimhayavasenevamahamsu,1,1,0,0,22
520051,ārohaṇatthāya,arohanatthaya,1,1,0,0,13
520052,P6.0104,P6.0104,1,1,0,0,7
520053,V6.0126,V6.0126,1,1,0,0,7
520054,patiṭṭhitagehaṃ,patitthitageham,1,1,0,0,15
520055,M6.0130,M6.0130,1,1,0,0,7
520056,mahājanañca,mahajananca,2,2,0,0,11
520057,abhirūḷhaṃ,abhirulham,5,5,0,0,10
520058,pāpakammantā,papakammanta,25,23,2,0,12
520059,anāṇattopi,ananattopi,1,1,0,0,10
520060,dūtavisesadassanatthaṃ,dutavisesadassanattham,1,1,0,0,22
520061,adiṭṭhapubbāni,aditthapubbani,1,1,0,0,14
520062,V6.0127,V6.0127,1,1,0,0,7
520063,ekapahāreneva,ekapahareneva,4,4,0,0,13
520064,nirayakaṇḍaṃ,nirayakandam,2,2,0,0,12
520065,P6.0105,P6.0105,1,1,0,0,7
520066,pāpakamminaṃ,papakamminam,9,8,1,0,12
520067,luddakammānaṃ,luddakammanam,6,6,0,0,13
520068,dussīlānañca,dussilananca,6,6,0,0,12
520069,M6.0131,M6.0131,1,1,0,0,7
520070,khārasaṃyuttaṃ,kharasamyuttam,4,3,1,0,14
520071,aggisikhūpamaṃ,aggisikhupamam,4,4,0,0,14
520072,asisattitomarabhindivālamuggarādīni,asisattitomarabhindivalamuggaradini,1,1,0,0,35
520073,bhindivālappamāṇāhi,bhindivalappamanahi,1,1,0,0,19
520074,vettalatāhi,vettalatahi,4,4,0,0,11
520075,pajjalantesu,pajjalantesu,1,1,0,0,12
520076,khuradhārātikhiṇesu,khuradharatikhinesu,1,1,0,0,19
520077,kaṇṭakesu,kantakesu,1,1,0,0,9
520078,tālakkhandhappamāṇāni,talakkhandhappamanani,1,1,0,0,21
520079,pajjalitaayasūlāni,pajjalitaayasulani,1,1,0,0,18
520080,āvuṇitamacchā,avunitamaccha,1,1,0,0,13
520081,sūlānipi,sulanipi,1,1,0,0,8
520082,sūlānaṃ,sulanam,1,1,0,0,7
520083,khuradhārāsadisāni,khuradharasadisani,2,2,0,0,18
520084,V6.0128,V6.0128,1,1,0,0,7
520085,ayopokkharapattāni,ayopokkharapattani,1,1,0,0,18
520086,ayapokkharapattesu,ayapokkharapattesu,1,1,0,0,18
520087,khārodake,kharodake,1,1,0,0,9
520088,nadītalaṃ,naditalam,1,1,0,0,9
520089,khuradhārāhi,khuradharahi,2,2,0,0,12
520090,khuradhārāsu,khuradharasu,1,1,0,0,12
520091,ususattitomarādīni,ususattitomaradini,1,1,0,0,18
520092,dukkhavedanāppattā,dukkhavedanappatta,1,1,0,0,18
520093,pajjalitehi,pajjalitehi,1,1,0,0,11
520094,ayabaḷisehi,ayabalisehi,1,1,0,0,11
520095,pajjalitaayapathaviyaṃ,pajjalitaayapathaviyam,1,1,0,0,22
520096,ayoguḷhaṃ,ayogulham,1,1,0,0,9
520097,mahādukkhapīḷite,mahadukkhapilite,1,1,0,0,16
520098,saṅkampitahadayo,sankampitahadayo,1,1,0,0,16
520099,M6.0132,M6.0132,1,1,0,0,7
520100,mātalimajjhabhāsatha,matalimajjhabhasatha,2,2,0,0,20
520101,vidugge,vidugge,4,4,0,0,7
520102,P6.0106,P6.0106,1,1,0,0,7
520103,sūta,suta,53,53,0,0,4
520104,kimakaṃsu,kimakamsu,34,34,0,0,9
520105,pāpakammānaṃ,papakammanam,37,37,0,0,12
520106,supāpadhammā,supapadhamma,8,8,0,0,12
520107,luddakammā,luddakamma,23,23,0,0,10
520108,dubbaleti,dubbaleti,1,0,1,0,9
520109,sarīrabalabhogabalaāṇābalavirahite,sarirabalabhogabalaanabalavirahite,1,1,0,0,34
520110,balavantāti,balavantati,1,0,1,0,11
520111,rosentīti,rosentiti,3,0,3,0,9
520112,pasavetvāti,pasavetvati,1,0,1,0,11
520113,V6.0129,V6.0129,1,1,0,0,7
520114,vetaraṇiniraye,vetaraniniraye,1,1,0,0,14
520115,sunakhādīhi,sunakhadihi,3,3,0,0,11
520116,khādanaṭṭhānaṃ,khadanatthanam,1,1,0,0,14
520117,M6.0133,M6.0133,1,1,0,0,7
520118,kiṃmakaṃsu,kimmakamsu,1,1,0,0,10
520119,adantī,adanti,1,1,0,0,6
520120,P6.0107,P6.0107,1,1,0,0,7
520121,kabaravaṇṇā,kabaravanna,1,1,0,0,11
520122,setakāḷapītalohitavaṇṇā,setakalapitalohitavanna,1,1,0,0,23
520123,pañcavaṇṇasunakhe,pancavannasunakhe,1,1,0,0,17
520124,jalitaayapathaviyaṃ,jalitaayapathaviyam,4,4,0,0,19
520125,piṇḍikamaṃsesu,pindikamamsesu,1,1,0,0,14
520126,ravantānaṃ,ravantanam,1,1,0,0,10
520127,gijjhāti,gijjhati,1,0,1,0,8
520128,mahābhaṇḍasakaṭappamāṇā,mahabhandasakatappamana,1,1,0,0,23
520129,kaṇayasadisehi,kanayasadisehi,1,1,0,0,14
520130,kākolasaṅghāti,kakolasanghati,1,0,1,0,14
520131,lohatuṇḍakākagaṇā,lohatundakakagana,1,1,0,0,17
520132,maccharinoti,maccharinoti,5,1,4,0,12
520133,adāyakā,adayaka,4,4,0,0,7
520134,dentepi,dentepi,5,5,0,0,7
520135,paṭisedhakā,patisedhaka,2,2,0,0,11
520136,samitabāhitapāpānaṃ,samitabahitapapanam,2,2,0,0,19
520137,M6.0134,M6.0134,1,1,0,0,7
520138,tattehi,tattehi,2,2,0,0,7
520139,pothayanti,pothayanti,5,5,0,0,10
520140,khandhahatā,khandhahata,4,4,0,0,11
520141,V6.0130,V6.0130,1,1,0,0,7
520142,jīvalokasmi,jivalokasmi,7,7,0,0,11
520143,supāpadhammino,supapadhammino,7,7,0,0,14
520144,narañca,naranca,3,3,0,0,7
520145,nāriñca,narinca,4,4,0,0,7
520146,apāpadhammaṃ,apapadhammam,3,2,1,0,12
520147,navayojanabahalaṃ,navayojanabahalam,1,1,0,0,17
520148,ayapathaviṃ,ayapathavim,2,2,0,0,11
520149,akkamanti,akkamanti,16,16,0,0,9
520150,pothayantīti,pothayantiti,1,0,1,0,12
520151,tālappamāṇehi,talappamanehi,2,2,0,0,13
520152,jalitaayakkhandhehi,jalitaayakkhandhehi,1,1,0,0,19
520153,supāpadhamminoti,supapadhamminoti,2,0,2,0,16
520154,sīlācārādisampannaṃ,silacaradisampannam,1,1,0,0,19
520155,P6.0108,P6.0108,1,1,0,0,7
520156,M6.0135,M6.0135,1,1,0,0,7
520157,pūgāya,pugaya,3,2,1,0,6
520158,jāpayanti,japayanti,3,3,0,0,9
520159,jāpayitvā,japayitva,2,2,0,0,9
520160,phuṇantī,phunanti,1,1,0,0,8
520161,apavisantiyo,apavisantiyo,2,2,0,0,12
520162,jalitaayaguḷehi,jalitaayagulehi,1,1,0,0,15
520163,pothiyamānā,pothiyamana,4,4,0,0,11
520164,ayapacchīhi,ayapacchihi,1,1,0,0,11
520165,upariaṅgāre,upariangare,1,1,0,0,11
520166,daḍḍhagattā,daddhagatta,1,1,0,0,11
520167,vidhunanti,vidhunanti,2,2,0,0,10
520168,pavattessāma,pavattessama,1,1,0,0,12
520169,pūgasantakassa,pugasantakassa,1,1,0,0,14
520170,V6.0131,V6.0131,1,1,0,0,7
520171,jāpayantīti,japayantiti,1,0,1,0,11
520172,gaṇajeṭṭhakānaṃ,ganajetthakanam,1,1,0,0,15
520173,kūṭasakkhiṃ,kutasakkhim,4,4,0,0,11
520174,padittā,paditta,6,6,0,0,7
520175,M6.0136,M6.0136,1,1,0,0,7
520176,P6.0109,P6.0109,1,1,0,0,7
520177,padittātiādittā,padittatiaditta,1,0,1,0,15
520178,pabbatappamāṇā,pabbatappamana,1,1,0,0,14
520179,saṇṭhitaloharasena,santhitaloharasena,1,1,0,0,18
520180,bhayānakehi,bhayanakehi,1,1,0,0,11
520181,khipiyamānā,khipiyamana,2,2,0,0,11
520182,sīlaācāraguṇasampannaṃ,silaacaragunasampannam,1,1,0,0,22
520183,luñcanti,luncanti,4,4,0,0,8
520184,pakiledayitvā,pakiledayitva,3,3,0,0,13
520185,luttasirā,luttasira,5,5,0,0,9
520186,viheṭhayitvā,vihethayitva,2,2,0,0,12
520187,luñcantīti,luncantiti,1,0,1,0,10
520188,veṭhayitvāti,vethayitvati,1,0,1,0,12
520189,jalitalohayottehi,jalitalohayottehi,3,3,0,0,17
520190,V6.0132,V6.0132,1,1,0,0,7
520191,saṇṭhitalohaudakasmiṃ,santhitalohaudakasmim,1,1,0,0,21
520192,pakiledayitvāti,pakiledayitvati,1,0,1,0,15
520193,jalitaayadaṇḍehi,jalitaayadandehi,1,1,0,0,16
520194,jalitaloharase,jalitaloharase,1,1,0,0,14
520195,luñcitāya,luncitaya,1,1,0,0,9
520196,viheṭhayantīti,vihethayantiti,1,0,1,0,14
520197,pahūtatoyā,pahutatoya,2,2,0,0,10
520198,M6.0137,M6.0137,1,1,0,0,7
520199,anigādhakūlā,anigadhakula,2,2,0,0,12
520200,P6.0110,P6.0110,1,1,0,0,7
520201,suddhadhaññaṃ,suddhadhannam,4,3,1,0,13
520202,asuddhakammā,asuddhakamma,4,4,0,0,12
520203,kayino,kayino,2,2,0,0,6
520204,ghammābhitattāna,ghammabhitattana,2,2,0,0,16
520205,anigādhakūlāti,anigadhakulati,1,0,1,0,14
520206,agambhīratīrā,agambhiratira,1,1,0,0,13
520207,vīhibhusaṃ,vihibhusam,1,1,0,0,10
520208,pānīti,paniti,1,0,1,0,6
520209,pahūtasalilā,pahutasalila,1,1,0,0,12
520210,aggisantāpena,aggisantapena,1,1,0,0,13
520211,jalitalohapathaviṃ,jalitalohapathavim,1,1,0,0,18
520212,bhusapalāsabhāvaṃ,bhusapalasabhavam,1,1,0,0,17
520213,bhusapalāsaṃ,bhusapalasam,1,1,0,0,12
520214,adhobhāgena,adhobhagena,7,7,0,0,11
520215,vīhiādisattavidhaṃ,vihiadisattavidham,1,1,0,0,18
520216,parisuddhadhaññaṃ,parisuddhadhannam,1,1,0,0,17
520217,bhusena,bhusena,9,9,0,0,7
520218,vālukāmattikādīhi,valukamattikadihi,1,1,0,0,17
520219,V6.0133,V6.0133,1,1,0,0,7
520220,asuddhakammāti,asuddhakammati,1,0,1,0,14
520221,kiliṭṭhakāyavacīmanokammā,kilitthakayavacimanokamma,1,1,0,0,25
520222,kayinoti,kayinoti,1,0,1,0,8
520223,kayikassa,kayikassa,1,1,0,0,9
520224,asuddhadhaññaṃ,asuddhadhannam,1,1,0,0,14
520225,M6.0138,M6.0138,1,1,0,0,7
520226,tomarehi,tomarehi,5,5,0,0,8
520227,sattihatā,sattihata,4,4,0,0,9
520228,asādhukammino,asadhukammino,4,4,0,0,13
520229,adinnamādāya,adinnamadaya,2,2,0,0,12
520230,ajeḷakañcāpi,ajelakancapi,2,2,0,0,12
520231,dubhayānīti,dubhayaniti,1,0,1,0,11
520232,tudantīti,tudantiti,1,0,1,0,9
520233,usuādīhi,usuadihi,3,3,0,0,8
520234,nānāvudhehi,nanavudhehi,2,2,0,0,11
520235,P6.0111,P6.0111,1,1,0,0,7
520236,adinnamādāyāti,adinnamadayati,1,0,1,0,14
520237,saviññāṇakāviññāṇakaṃ,savinnanakavinnanakam,4,4,0,0,21
520238,vikantā,vikanta,5,5,0,0,7
520239,M6.0139,M6.0139,1,1,0,0,7
520240,mahiṃsañca,mahimsanca,2,2,0,0,10
