58,ābādhapaccayā,.n.,.m.$.pl.$.nom.,ābādhapaccaya,,,ābādhapaccaya+[a],,1,100,13,regular,en
60,ābādhaṭṭhena,.n.,.m.$.sg.$.inst.,ābādhaṭṭha,,,ābādhaṭṭha+[ena],,1,100,12,regular,en
61,ābādhavūpasamena,.n.,.m.$.sg.$.inst.,ābādhavūpasama,,,ābādhavūpasama+[ena],,1,100,16,regular,en
62,abahikatavitakkesu,.n.,.m.$.pl.$.loc.,abahikatavitakka,,,abahikatavitakka+[su],,1,100,18,regular,en
63,abahubhāvaṃ,.n.,.m.$.sg.$.acc.,abahubhāva,,,abahubhāva+[ṃ],,1,100,11,regular,en
64,abahubhāvato,.n.,.m.$.sg.$.abl.,abahubhāva,,,abahubhāva+[to],,1,100,12,regular,en
65,abahulīkārena,.n.,.m.$.sg.$.inst.,abahulīkāra,,,abahulīkāra+[ena],,1,100,13,regular,en
66,abahumānālāpo,.n.,.m.$.sg.$.nom.,abahumānālāpa,,,abahumānālāpa+[o],,1,100,13,regular,en
67,abalabalākārassa,.n.,.m.$.sg.$.gen.,abalabalākāra,,,abalabalākāra+[ssa],,1,100,16,regular,en
68,abalabalākārassa,.n.,.m.$.sg.$.dat.,abalabalākāra,,,abalabalākāra+[ssa],,1,100,16,regular,en
69,abaladubbalabhāvato,.n.,.m.$.sg.$.abl.,abaladubbalabhāva,,,abaladubbalabhāva+[to],,1,100,19,regular,en
70,abaladubbalaṭṭhena,.n.,.m.$.sg.$.inst.,abaladubbalaṭṭha,,,abaladubbalaṭṭha+[ena],,1,100,18,regular,en
72,ābandhanaṭṭhena,.n.,.m.$.sg.$.inst.,ābandhanaṭṭha,,,ābandhanaṭṭha+[ena],,1,100,15,regular,en
73,abandhu,.n.,.m.$.sg.$.nom.,abandhu,,,abandhu+[u],,1,100,7,regular,en
75,abandhuno,.n.,.m.$.sg.$.gen.,abandhu,,,abandhu+[no],,1,100,9,regular,en
76,abandhuno,.n.,.m.$.sg.$.dat.,abandhu,,,abandhu+[no],,1,100,9,regular,en
77,abbhācikkhanadosaṃ,.n.,.m.$.sg.$.acc.,abbhācikkhanadosa,,,abbhācikkhanadosa+[ṃ],,1,100,18,regular,en
78,abbhādidosavirahena,.n.,.m.$.sg.$.inst.,abbhādidosaviraha,,,abbhādidosaviraha+[ena],,1,100,19,regular,en
80,abbhādiupakkilesā,.n.,.m.$.sg.$.abl.,abbhādiupakkilesa,,,abbhādiupakkilesa+[ā],,1,100,17,regular,en
81,abbhādiupakkilesā,.n.,.m.$.pl.$.nom.,abbhādiupakkilesa,,,abbhādiupakkilesa+[a],,1,100,17,regular,en
83,abbhāgamo,.n.,.m.$.sg.$.nom.,abbhāgama,,,abbhāgama+[o],,1,100,9,regular,en
85,abbhaghanaṃ,.n.,.m.$.sg.$.acc.,abbhaghana,,,abbhaghana+[ṃ],,1,100,11,regular,en
86,abbhaghanena,.n.,.m.$.sg.$.inst.,abbhaghana,,,abbhaghana+[ena],,1,100,12,regular,en
87,abbhaghanā,.n.,.m.$.sg.$.abl.,abbhaghana,,,abbhaghana+[ā],,1,100,10,regular,en
88,abbhaghanā,.n.,.m.$.pl.$.nom.,abbhaghana,,,abbhaghana+[a],,1,100,10,regular,en
90,abbhakāle,.n.,.m.$.sg.$.loc.,abbhakāla,,,abbhakāla+[i],,1,100,9,regular,en
91,abbhakāle,.n.,.m.$.pl.$.acc.,abbhakāla,,,abbhakāla+[e],,1,100,9,regular,en
93,abbhakūṭaṃ,.n.,.m.$.sg.$.acc.,abbhakūṭa,,,abbhakūṭa+[ṃ],,1,100,10,regular,en
94,abbhakūṭe,.n.,.m.$.sg.$.loc.,abbhakūṭa,,,abbhakūṭa+[i],,1,100,9,regular,en
95,abbhakūṭe,.n.,.m.$.pl.$.acc.,abbhakūṭa,,,abbhakūṭa+[e],,1,100,9,regular,en
96,abbhakūṭaṃ,.n.,.nt.$.sg.$.nom.,abbhakūṭa,,,abbhakūṭa+[ṃ],,1,100,10,regular,en
98,abbhakūṭaṃ,.n.,.nt.$.sg.$.acc.,abbhakūṭa,,,abbhakūṭa+[ṃ],,1,100,10,regular,en
99,abbhakūṭe,.n.,.nt.$.sg.$.loc.,abbhakūṭa,,,abbhakūṭa+[i],,1,100,9,regular,en
100,abbhakūṭe,.n.,.nt.$.pl.$.acc.,abbhakūṭa,,,abbhakūṭa+[e],,1,100,9,regular,en
101,abbhamahikādiupakkilesavigamena,.n.,.m.$.sg.$.inst.,abbhamahikādiupakkilesavigama,,,abbhamahikādiupakkilesavigama+[ena],,1,100,31,regular,en
