oṇi,2
pa-,3
pac,5
pad,3
paj,3
pan,1
pat,4
pa°,1
paṇ,1
paṭ,1
pek,2
pes,2
pha,6
phi,1
phā,1
pih,2
pis,3
plu,6
prc,1
prt,1
pru,1
prā,1
prī,1
psā,1
pus,3
puṁ,2
puṃ,1
puṭ,1
pyā,1
pār,2
pīy,1
pīḍ,1
pīḷ,2
pūj,3
pūr,2
pūy,1
rac,3
rad,1
rah,3
raj,3
ram,3
ran,1
rap,1
ras,1
raṭ,1
rdh,1
rej,1
reḍ,1
ric,3
rih,1
rip,1
ris,1
ruc,5
rud,1
ruh,3
ruj,3
rup,3
rus,3
ruṃ,4
ruṇ,1
rāj,3
rās,1
rūs,1
sac,1
sad,3
sah,3
saj,3
sak,2
sam,6
san,6
sap,3
sar,2
sas,2
sat,2
saṃ,4
sev,3
sic,1
siv,2
sku,1
smi,2
smr,1
snu,1
snā,1
spr,1
srj,1
srk,1
srp,1
sru,1
str,1
stu,1
stā,1
su-,3
suc,2
sup,2
sus,2
sve,9
sās,1
sīl,2
sīv,1
sūc,2
sūd,3
tak,1
tam,2
tan,4
tap,5
tar,4
tas,3
ta°,1
taḍ,1
taṁ,1
taṃ,18
taṭ,1
te-,3
te°,1
tha,4
the,6
thi,4
thu,11
thā,5
thī,11
ti-,2
tij,3
tim,1
ti°,1
trd,1
trh,1
trp,1
trs,1
trā,1
tuc,1
tud,3
tuj,1
tul,3
tus,3
tya,1
tāy,1
tāḷ,2
tīr,2
ubb,2
ubh,1
ubj,1
uca,3
ud-,3
uda,24
udi,7
udr,1
udu,5
uha,1
uhā,2
ujh,1
uju,16
uks,1
ula,3
ulu,1
uma,1
umā,4
upa,10
ura,11
uro,2
uru,13
urī,2
urū,2
usa,5
usu,15
usā,6
ut-,2
uta,1
utu,13
uḷa,1
uḷu,11
uṇa,1
vac,5
vad,1
vah,3
vaj,3
val,1
vam,3
van,3
vap,3
var,3
vas,5
vat,3
ven,1
ve°,1
vhe,3
vi-,2
vic,4
vid,7
vij,1
vip,1
vis,3
vlī,1
vo-,1
vo°,1
vrh,1
vrj,1
vrs,1
vrt,1
vy°,1
vyā,1
