#,sinhala,1
vhya,ව්හ්‍ය,149
smya,ස්ම්‍ය,150
svya,ස්ව්‍ය,151
ssya,ස්ස්‍ය,152
hmya,හ්ම්‍ය,153
hvya,හ්ව්‍ය,154
ḷhya,ළ්හ්‍ය,155
kyuṃ,ක්‍යුං,156
kruṃ,ක්‍රුං,157
gruṃ,ග්‍රුං,158
truṃ,ත්‍රුං,159
druṃ,ද්‍රුං,160
bruṃ,බ්‍රුං,161
kkuṃ,ක‍්කුං,162
kvra,ක්ව්‍ර,163
ṅkra,ඞ්ක්‍ර,164
ṅgra,ඞ්ග්‍ර,165
ccra,ච්ච්‍ර,166
jjra,ජ්ජ්‍ර,167
ñcra,ඤ්ච්‍ර,168
ñjra,ඤ්ජ්‍ර,169
ññra,ඤ්ඤ්‍ර,170
ñhra,ඤ්හ්‍ර,171
ṭṭra,ට්ට්‍ර,172
ḍḍra,ඩ්ඩ්‍ර,173
ṇṭra,ණ්ට්‍ර,174
ṇḍra,ණ්ඩ්‍ර,175
ṇṇra,ණ්ණ්‍ර,176
ṇhra,ණ්හ්‍ර,177
ttra,ත්ත්‍ර,178
tvra,ත්ව්‍ර,179
ddra,ද්ද්‍ර,180
dvra,ද්ව්‍ර,181
ndra,න්ද්‍ර,182
nnra,න්න්‍ර,183
nhra,න්හ්‍ර,184
ppra,ප්ප්‍ර,185
bbra,බ්බ්‍ර,186
mpra,ම්ප්‍ර,187
mbra,ම්බ්‍ර,188
mmra,ම්ම්‍ර,189
mhra,ම්හ්‍ර,190
yyra,ය්ය්‍ර,191
yhra,ය්හ්‍ර,192
lyra,ල්ය්‍ර,193
llra,ල්ල්‍ර,194
lhra,ල්හ්‍ර,195
vhra,ව්හ්‍ර,196
smra,ස්ම්‍ර,197
svra,ස්ව්‍ර,198
ssra,ස්ස්‍ර,199
hmra,හ්ම්‍ර,200
hvra,හ්ව්‍ර,201
ḷhra,ළ්හ්‍ර,202
kyiṃ,ක්‍යිං,203
kriṃ,ක්‍රිං,204
griṃ,ග්‍රිං,205
triṃ,ත්‍රිං,206
driṃ,ද්‍රිං,207
briṃ,බ්‍රිං,208
kkiṃ,ක‍්කිං,209
kkya,ක‍්කය,210
kvuṃ,ක්වුං,211
ṅkuṃ,ඞ්කුං,212
ṅguṃ,ඞ්ගුං,213
ccuṃ,ච්චුං,214
jjuṃ,ජ්ජුං,215
ñcuṃ,ඤ්චුං,216
ñjuṃ,ඤ්ජුං,217
ññuṃ,ඤ්ඤුං,218
ñhuṃ,ඤ්හුං,219
ṭṭuṃ,ට්ටුං,220
ḍḍuṃ,ඩ්ඩුං,221
ṇṭuṃ,ණ්ටුං,222
ṇḍuṃ,ණ්ඩුං,223
ṇṇuṃ,ණ්ණුං,224
ṇhuṃ,ණ්හුං,225
ttuṃ,ත්තුං,226
tvuṃ,ත්වුං,227
dduṃ,ද්දුං,228
dvuṃ,ද්වුං,229
nduṃ,න්දුං,230
nnuṃ,න්නුං,231
nhuṃ,න්හුං,232
ppuṃ,ප්පුං,233
bbuṃ,බ්බුං,234
mpuṃ,ම්පුං,235
mbuṃ,ම්බුං,236
mmuṃ,ම්මුං,237
mhuṃ,ම්හුං,238
yyuṃ,ය්යුං,239
yhuṃ,ය්හුං,240
lyuṃ,ල්යුං,241
lluṃ,ල්ලුං,242
lhuṃ,ල්හුං,243
vhuṃ,ව්හුං,244
smuṃ,ස්මුං,245
svuṃ,ස්වුං,246
ssuṃ,ස්සුං,247
hmuṃ,හ්මුං,248
hvuṃ,හ්වුං,249
ḷhuṃ,ළ්හුං,250
kkra,ක‍්කර,251
kviṃ,ක්විං,252
ṅkiṃ,ඞ්කිං,253
ṅgiṃ,ඞ්ගිං,254
cciṃ,ච්චිං,255
jjiṃ,ජ්ජිං,256
ñciṃ,ඤ්චිං,257
ñjiṃ,ඤ්ජිං,258
ññiṃ,ඤ්ඤිං,259
ñhiṃ,ඤ්හිං,260
ṭṭiṃ,ට්ටිං,261
ḍḍiṃ,ඩ්ඩිං,262
ṇṭiṃ,ණ්ටිං,263
ṇḍiṃ,ණ්ඩිං,264
ṇṇiṃ,ණ්ණිං,265
ṇhiṃ,ණ්හිං,266
ttiṃ,ත්තිං,267
tviṃ,ත්විං,268
ddiṃ,ද්දිං,269
dviṃ,ද්විං,270
ndiṃ,න්දිං,271
nniṃ,න්නිං,272
nhiṃ,න්හිං,273
ppiṃ,ප්පිං,274
bbiṃ,බ්බිං,275
mpiṃ,ම්පිං,276
mbiṃ,ම්බිං,277
mmiṃ,ම්මිං,278
mhiṃ,ම්හිං,279
yyiṃ,ය්යිං,280
yhiṃ,ය්හිං,281
lyiṃ,ල්යිං,282
lliṃ,ල්ලිං,283
lhiṃ,ල්හිං,284
vhiṃ,ව්හිං,285
smiṃ,ස්මිං,286
sviṃ,ස්විං,287
ssiṃ,ස්සිං,288
hmiṃ,හ්මිං,289
hviṃ,හ්විං,290
ḷhiṃ,ළ්හිං,291
ntya,න්ත්‍ය,292
kyaṃ,ක්‍යං,293
kraṃ,ක්‍රං,294
graṃ,ග්‍රං,295
traṃ,ත්‍රං,296
draṃ,ද්‍රං,297
ntra,න්ත්‍ර,298
braṃ,බ්‍රං,299
kkaṃ,ක‍්කං,300
ntuṃ,න්තුං,301
khya,ඛ්‍ය,302
ghya,ඝ්‍ය,303
chya,ඡ්‍ය,304
jhya,ඣ්‍ය,305
ṭhya,ඨ්‍ය,306
ḍhya,ඪ්‍ය,307
thya,ථ්‍ය,308
dhya,ධ්‍ය,309
phya,ඵ්‍ය,310
bhya,භ්‍ය,311
ntiṃ,න්තිං,312
kkhū,ක්ඛූ,313
ṅkhū,ඞ්ඛූ,314
ṅghū,ඞ්ඝූ,315
cchū,ච්ඡූ,316
jjhū,ජ්ඣූ,317
ñchū,ඤ්ඡූ,318
ñjhū,ඤ්ඣූ,319
ṭṭhū,ට්ඨූ,320
ḍḍhū,ඩ්ඪූ,321
ṇṭhū,ණ්ඨූ,322
ṇḍhū,ණ්ඪූ,323
tthū,ත්ථූ,324
ddhū,ද්ධූ,325
dhvū,ධ්වූ,326
ndhū,න්ධූ,327
pphū,ප්ඵූ,328
bbhū,බ්භූ,329
mphū,ම්ඵූ,330
mbhū,ම්භූ,331
nthū,න්ථූ,332
kkhu,ක්ඛු,333
ṅkhu,ඞ්ඛු,334
