58210,laddhabbappaṭibhāganimitta,.n:base.,.nt.,,,82697,addhabba+paṭibhāganimitta,,1,100,26,pm,cm
58211,laddhabbapuññaphala,.n:base.,.nt.,,,82698,addhabba+puñña+phala,,1,100,19,pm,cm
58212,laddhabbasukha,.n:base.,.nt.,,,82701,addhabba+sukha,,1,100,14,pm,cm
58213,laddhabhāgabhatta,.n:base.,.nt.,,,82708,addha+bhāga+bhatta,,1,100,17,pm,cm
58214,laddhabhaṇḍaka,.n:base.,.nt.,,,82709,addha+bhaṇḍaka,,1,100,14,pm,cm
58215,laddhabhatta,.n:base.,.nt.,,,82714,addha+bhatta,,1,100,12,pm,cm
58216,laddhabhogga,.n:base.,.nt.,,,82725,addha+bhogga,,1,100,12,pm,cm
58217,laddhabhojana,.n:base.,.nt.,,,82726,addha+bhojana,,1,100,13,pm,cm
58218,laddhacīvara,.n:base.,.nt.,,,82730,addha+cīvara,,1,100,12,pm,cm
58219,laddhadassana,.n:base.,.nt.,,,82734,addha+dassana,,1,100,13,pm,cm
58220,laddhadhañña,.n:base.,.nt.,,,82741,addha+dhañña,,1,100,12,pm,cm
58221,laddhadukkha,.n:base.,.nt.,,,82749,addha+dukkha,,1,100,12,pm,cm
58222,laddhaghara,.n:base.,.nt.,,,82755,addha+ghara,,1,100,11,pm,cm
58223,laddhaguṇadassana,.n:base.,.nt.,,,82757,addhaguṇa+dassana,,1,100,17,pm,cm
58224,laddhaguṇakittana,.n:base.,.nt.,,,82758,addhaguṇa+kittana,,1,100,17,pm,cm
58225,laddhajjhāna,.n:base.,.nt.,,,82764,addha+cyāna,,1,100,12,pm,cm
58226,laddhakāraṇa,.n:base.,.nt.,,,82773,addha+kāraṇa,,1,100,12,pm,cm
58227,laddhamaggaphala,.n:base.,.nt.,,,82785,addha+magga+phala,,1,100,16,pm,cm
58228,laddhāmisa,.n:base.,.nt.,,,82788,addha+āmisa,,1,100,10,pm,cm
58229,laddhamūla,.n:base.,.nt.,,,82790,addha+mūla,,1,100,10,pm,cm
58230,laddhanāmacitta,.n:base.,.nt.,,,82794,addhanāma+citta,,1,100,15,pm,cm
58231,laddhapaṇṇa,.n:base.,.nt.,,,82816,addha+paṇṇa,,1,100,11,pm,cm
58232,laddhaparisiñcana,.n:base.,.nt.,,,82821,addha+parisiñcana,,1,100,17,pm,cm
58233,laddhaparisiñcanadāna,.n:base.,.nt.,,,82822,addhaparisiñca+dāna,,1,100,21,pm,cm
58234,laddhaphala,.n:base.,.nt.,,,82832,addha+phala,,1,100,11,pm,cm
