#,telugu,1
summary,pali to telugu,2
font,times,3
size,90%,4
author,siddhattha,5
data,2019/3/14,6
#,,7
ṇṭhaṃ,ణ్ఠం
ṇḍhaṃ,ణ్ఢం
tthaṃ,త్థం
nthaṃ,న్థం
ddhaṃ,ద్ధం
ndhaṃ,న్ధం
pphaṃ,ప్ఫం
mphaṃ,మ్ఫం
bbhaṃ,బ్భం
mbhaṃ,మ్భం
kkhah,క్ఖః
gghah,ఘ్ఘః
cchah,ఛ్ఛః
jjhah,ఝ్ఝః
ñchah,ఞ్ఛః
ñjhah,ఞ్ఝః
ṭṭhah,ఠ్ఠః
ḍḍhah,ఢ్ఢః
ṇṭhah,ణ్ఠః
ṇḍhah,ణ్ఢః
tthah,త్థః
nthah,న్థః
ddhah,ద్ధః
ndhah,న్ధః
pphah,ప్ఫః
mphah,మ్ఫః
bbhah,బ్భః
mbhah,మ్భః
kkhiṃ,క్ఖిం
gghiṃ,ఘ్ఘిం
cchiṃ,ఛ్ఛిం
jjhiṃ,ఝ్ఝిం
ñchiṃ,ఞ్ఛిం
ñjhiṃ,ఞ్ఝిం
ṭṭhiṃ,ఠ్ఠిం
ḍḍhiṃ,ఢ్ఢిం
ṇṭhiṃ,ణ్ఠిం
ṇḍhiṃ,ణ్ఢిం
tthiṃ,త్థిం
nthiṃ,న్థిం
ddhiṃ,ద్ధిం
ndhiṃ,న్ధిం
pphiṃ,ప్ఫిం
mphiṃ,మ్ఫిం
bbhiṃ,బ్భిం
mbhiṃ,మ్భిం
kkhuṃ,క్ఖుం
gghuṃ,ఘ్ఘుం
cchuṃ,ఛ్ఛుం
jjhuṃ,ఝ్ఝుం
ñchuṃ,ఞ్ఛుం
ñjhuṃ,ఞ్ఝుం
ṭṭhuṃ,ఠ్ఠుం
ḍḍhuṃ,ఢ్ఢుం
ṇṭhuṃ,ణ్ఠుం
ṇḍhuṃ,ణ్ఢుం
tthuṃ,త్థుం
nthuṃ,న్థుం
ddhuṃ,ద్ధుం
ndhuṃ,న్ధుం
pphuṃ,ప్ఫుం
mphuṃ,మ్ఫుం
bbhuṃ,బ్భుం
mbhuṃ,మ్భుం
kkhra,క్ఖ్ర
gghra,ఘ్ఘ్ర
cchra,ఛ్ఛ్ర
jjhra,ఝ్ఝ్ర
ñchra,ఞ్ఛ్ర
ñjhra,ఞ్ఝ్ర
ṭṭhra,ఠ్ఠ్ర
ḍḍhra,ఢ్ఢ్ర
ṇṭhra,ణ్ఠ్ర
ṇḍhra,ణ్ఢ్ర
tthra,త్థ్ర
nthra,న్థ్ర
ddhra,ద్ధ్ర
ndhra,న్ధ్ర
pphra,ప్ఫ్ర
mphra,మ్ఫ్ర
bbhra,బ్భ్ర
mbhra,మ్భ్ర
kkhya,క్ఖ్య
gghya,ఘ్ఘ్య
cchya,ఛ్ఛ్య
jjhya,ఝ్ఝ్య
ñchya,ఞ్ఛ్య
ñjhya,ఞ్ఝ్య
ṭṭhya,ఠ్ఠ్య
ḍḍhya,ఢ్ఢ్య
ṇṭhya,ణ్ఠ్య
ṇḍhya,ణ్ఢ్య
tthya,త్థ్య
nthya,న్థ్య
ddhya,ద్ధ్య
ndhya,న్ధ్య
pphya,ప్ఫ్య
mphya,మ్ఫ్య
bbhya,బ్భ్య
mbhya,మ్భ్య
kkhva,క్ఖ్వ
gghva,ఘ్ఘ్వ
cchva,ఛ్ఛ్వ
jjhva,ఝ్ఝ్వ
ñchva,ఞ్ఛ్వ
ñjhva,ఞ్ఝ్వ
ṭṭhva,ఠ్ఠ్వ
ḍḍhva,ఢ్ఢ్వ
ṇṭhva,ణ్ఠ్వ
ṇḍhva,ణ్ఢ్వ
tthva,త్థ్వ
nthva,న్థ్వ
ddhva,ద్ధ్వ
ndhva,న్ధ్వ
pphva,ప్ఫ్వ
