book,paragraph,level,title,tag
16,1176,2,16. bhūvādigaṇikapariccheda,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::dhātumālā::nirutti:
16,1898,2,17. rudhādichakka,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::dhātumālā::nirutti:
16,2395,2,18. curādigaṇaparidīpana,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::dhātumālā::nirutti:
16,3067,2,19. sabbagaṇavinicchaya,:añña::byākaraṇa ganthasaṅgaha::saddanītippakaraṇa::dhātumālā::nirutti:
17,2,1,padarūpasiddhi,:añña::byākaraṇa ganthasaṅgaha::padarūpasiddhi::nirutti:
17,14,2,1. sandhikaṇḍa,:añña::byākaraṇa ganthasaṅgaha::padarūpasiddhi::nirutti:
17,697,2,2. nāmakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::padarūpasiddhi::nirutti:
17,1598,2,3. kārakakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::padarūpasiddhi::nirutti:
17,1981,2,4. samāsakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::padarūpasiddhi::nirutti:
17,2285,2,5. taddhitakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::padarūpasiddhi::nirutti:
17,2604,2,6. ākhyātakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::padarūpasiddhi::nirutti:
17,3384,2,7. kibbidhānakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::padarūpasiddhi::nirutti:
18,2,1,moggallāna pañcikā ṭīkā,:añña::byākaraṇa ganthasaṅgaha::moggallāna pañcikā ṭīkā::nirutti:
18,84,2,1. paṭhamakaṇḍavaṇṇanā,:añña::byākaraṇa ganthasaṅgaha::moggallāna pañcikā ṭīkā::nirutti:
18,249,2,2. dutiyakaṇḍa vaṇṇanā,:añña::byākaraṇa ganthasaṅgaha::moggallāna pañcikā ṭīkā::nirutti:
18,593,2,3. tatiyakaṇḍavaṇṇanā,:añña::byākaraṇa ganthasaṅgaha::moggallāna pañcikā ṭīkā::nirutti:
18,868,2,catutthakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::moggallāna pañcikā ṭīkā::nirutti:
18,1109,2,pañcamakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::moggallāna pañcikā ṭīkā::nirutti:
18,1419,2,chaṭṭhakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::moggallāna pañcikā ṭīkā::nirutti:
19,2,1,payogasiddhipāḷi,:añña::byākaraṇa ganthasaṅgaha::payogasiddhipāḷi::nirutti:
19,3,2,1. saññādikaṇḍa,:añña::byākaraṇa ganthasaṅgaha::payogasiddhipāḷi::nirutti:
19,5,2,ganthārambhakathā,:añña::byākaraṇa ganthasaṅgaha::payogasiddhipāḷi::nirutti:
19,184,2,2. nāmakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::payogasiddhipāḷi::nirutti:
19,977,2,3. kārakakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::payogasiddhipāḷi::nirutti:
19,1166,2,4. samāsakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::payogasiddhipāḷi::nirutti:
19,1465,2,5. ṇādikaṇḍa,:añña::byākaraṇa ganthasaṅgaha::payogasiddhipāḷi::nirutti:
19,1774,2,6. tyādikaṇḍa,:añña::byākaraṇa ganthasaṅgaha::payogasiddhipāḷi::nirutti:
19,2171,2,7. khādikaṇḍa,:añña::byākaraṇa ganthasaṅgaha::payogasiddhipāḷi::nirutti:
20,2,1,vuttodayaṃ,:añña::byākaraṇa ganthasaṅgaha::vuttodaya::nirutti:
20,3,2,1. saññāparibhāsāniddesa-paṭhamapariccheda,:añña::byākaraṇa ganthasaṅgaha::vuttodaya::nirutti:
20,61,2,2. mattāvuttiniddesa-dutiyapariccheda,:añña::byākaraṇa ganthasaṅgaha::vuttodaya::nirutti:
20,139,2,3. samavuttiniddesa-tatiyapariccheda,:añña::byākaraṇa ganthasaṅgaha::vuttodaya::nirutti:
20,224,2,4. aḍḍhasamavuttiniddesa-catutthapariccheda,:añña::byākaraṇa ganthasaṅgaha::vuttodaya::nirutti:
20,261,2,5. visamavuttiniddesa-pañcamapariccheda,:añña::byākaraṇa ganthasaṅgaha::vuttodaya::nirutti:
20,278,2,6. chappaccayavibhāga-chaṭṭhapariccheda,:añña::byākaraṇa ganthasaṅgaha::vuttodaya::nirutti:
21,2,1,abhidhānappadīpikā,:añña::byākaraṇa ganthasaṅgaha::abhidhānappadīpikā::nirutti:
21,41,2,1. saggakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::abhidhānappadīpikā::nirutti:
21,619,2,2. bhūkaṇḍa,:añña::byākaraṇa ganthasaṅgaha::abhidhānappadīpikā::nirutti:
21,677,2,2. bhūkaṇḍa,:añña::byākaraṇa ganthasaṅgaha::abhidhānappadīpikā::nirutti:
21,2272,2,3. sāmaññakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::abhidhānappadīpikā::nirutti:
21,3703,2,3. sāmaññakaṇḍa,:añña::byākaraṇa ganthasaṅgaha::abhidhānappadīpikā::nirutti:
22,2,1,niruttidīpanīpāṭha,:añña::niruttidīpanīpāṭha::nirutti::leḍī sayādo:
22,16,2,1. sandhikaṇḍa,:añña::niruttidīpanīpāṭha::nirutti::leḍī sayādo:
22,631,2,2. nāmakaṇḍa,:añña::niruttidīpanīpāṭha::nirutti::leḍī sayādo:
22,1858,2,3. kārakakaṇḍa,:añña::niruttidīpanīpāṭha::nirutti::leḍī sayādo:
22,2255,2,4. samāsakaṇḍa,:añña::niruttidīpanīpāṭha::nirutti::leḍī sayādo:
22,2889,2,5. taddhita,:añña::niruttidīpanīpāṭha::nirutti::leḍī sayādo:
22,3494,2,6. ākhyātakaṇḍa,:añña::niruttidīpanīpāṭha::nirutti::leḍī sayādo:
22,5030,2,7. kitakaṇḍa,:añña::niruttidīpanīpāṭha::nirutti::leḍī sayādo:
23,2,1,paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,29,2,pathamagāthā-paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,96,2,dutīyagāthā-paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,136,2,cittasaṅgaha-paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,407,2,cetasikasaṅgaha paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,530,2,pakiṇṇaka saṅgaha paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,650,2,vīthi saṅgaha paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,770,2,vīthimutta saṅgaha paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,987,2,rūpa saṅgaha paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,1203,2,samuccaya saṅgaha paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,1319,2,paccaya saṅgaha paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,1439,2,kammaṭṭhāna saṅgaha paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
23,1473,2,nigama paramatthadīpanī,:añña::abhidhamma::abhidhammatthasaṅgaha::paramatthadīpanī::leḍī sayādo:
